NEWID,GENDER_F,GENDER_M,INTAKE_DSA,INTAKE_DSA (CCA),INTAKE_IP (X),INTAKE_IP (Y),INTAKE_JAE Ordinary Admission,SEC SCHOOL_BUKIT PANJANG GOVT. HIGH SCHOOL,SEC SCHOOL_CATHOLIC HIGH SCHOOL,SEC SCHOOL_CHIJ ST. NICHOLAS GIRLS' SCHOOL,SEC SCHOOL_CHUNG CHENG HIGH SCHOOL (MAIN),SEC SCHOOL_METHODIST GIRLS' SCHOOL (SECONDARY),SEC SCHOOL_NAN HUA HIGH SCHOOL,SEC SCHOOL_SCHOOL X,SEC SCHOOL_SCHOOL Y,SEC SCHOOL__Minority_Sch,KI,FM2,CP2,PH2,CH2,BY2,EL2,ELL2,EC2,EH2,EG2,S1_2,S2_2,S3_2,S4_2,S5_2,EC1,MA3-MOE,PH3-MOE,CH3-MOE,BY3-MOE,S1_3-MOE,Foreign_Lang,H1_Arts,H1_Sci,S2_3_EC3-MOE,MA2,PTS,NO OF CCA,GP/KI,H1,H3,GP/KI_C1,MA2_C1,H1_C1,PTS_C1,PTS_Sec4,AM,EM,CIP HOURS,CCA President,CCA Sec-Treas,CCA Role,CT Rep,CIP Leader,CIP Organiser
20190001,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,41,47.5,1,6,5,5,5,46.7,7,22.5,4.284205537,1,1,6,0,0,0,0,0,0
20190002,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,71.5,88.75,1,1,0,1,1,70.7,0,80,-0.465438101,1,1,41,0,0,0,0,0,0
20190003,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,81.25,1,2,0,5,3,49.5,0,61.25,0.531874608,1,1,14,0,0,0,0,0,0
20190004,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,58.75,1,3,0,5,3,52.8,0,37.5,1.166528151,2,1,4,0,0,0,0,0,0
20190005,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.5,50,1,3,0,5,4,48.8,0,51.25,-0.315632581,1,2,70.5,0,0,0,0,0,0
20190006,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,81.5,86.25,1,2,0,3,5,75.4,0,72.5,-0.826725705,1,1,68.8,0,0,0,0,0,0
20190007,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55.5,66.25,2,4,0,5,4,36.7,0,41.25,0.939866172,1,1,84,1,0,0,0,0,1
20190008,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,82.5,1,3,0,5,4,70,0,70,-0.315632581,1,1,78,0,1,1,0,0,1
20190009,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57.5,77.5,1,2,0,5,3,56.3,0,67.5,-0.722321678,1,1,90,0,0,0,0,0,0
20190010,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,82.5,1,2,0,5,4,53.9,0,62.5,-0.315632581,1,1,35,0,0,0,0,0,1
20190011,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79.5,82.5,1,3,0,5,4,54.8,0,66.25,0.531874608,1,1,112.4,0,0,0,0,0,1
20190012,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,17.5,15,1,6,6,5,6,25.6,5,7.5,6.328578034,5,3,19,1,0,0,0,0,0
20190013,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,76,85,1,2,0,3,3,63.7,0,68.75,-0.315632581,1,1,67.5,0,0,1,0,0,1
20190014,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55.5,72.5,1,3,0,5,4,43.2,0,48.75,0.195460543,1,1,71.5,0,0,0,0,0,1
20190015,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,87.5,1,2,0,5,3,53.9,0,70,-0.465438101,1,1,52,0,0,0,1,0,1
20190016,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,69.5,82.5,2,3,0,3,4,78.6,0,71.25,-0.722321678,1,1,25.5,1,0,0,0,0,1
20190017,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,53,81.25,1,1,0,5,2,52.3,0,66.25,-0.81298647,1,2,197.5,0,1,0,0,1,0
20190018,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,75,1,2,0,5,5,43.5,0,60,-0.315632581,1,1,15,0,0,0,0,0,1
