NEWID,MA2
20190001,1
20190002,0
20190003,0
20190004,1
20190005,2
20190006,0
20190007,0
20190008,0
20190009,0
20190010,0
20190011,0
20190012,4
20190013,0
20190014,0
20190015,0
20190016,0
20190017,0
20190018,0
20190019,0
20190020,0
20190021,0
20190022,0
20190023,1
20190024,0
20190025,2
20190026,0
20190027,0
20190028,0
20190029,1
20190030,1
20190031,1
20190032,0
20190033,0
20190034,2
20190035,0
20190036,2
20190037,0
20190038,0
20190039,0
20190040,0
20190041,0
20190042,0
20190043,0
20190044,0
20190045,0
20190046,1
20190047,0
20190048,0
20190049,1
20190050,0
20190051,0
20190052,0
20190053,0
20190054,0
20190055,0
20190057,0
20190058,0
20190059,0
20190060,0
20190061,0
20190062,0
20190063,0
20190064,0
20190066,0
20190067,1
20190068,0
20190069,0
20190070,0
20190071,0
20190072,0
20190073,0
20190074,1
20190075,0
20190076,1
20190077,0
20190078,0
20190079,0
20190080,0
20190081,0
20190082,0
20190083,0
20190084,0
20190085,0
20190086,1
20190087,1
20190088,2
20190089,0
20190090,0
20190091,3
20190092,0
20190093,0
20190095,0
20190096,0
20190097,0
20190098,0
20190099,0
20190101,1
20190102,0
20190103,0
20190104,1
20190105,0
20190106,0
20190107,0
20190108,0
20190109,0
20190110,0
20190111,0
20190112,0
20190113,0
20190114,1
20190115,1
20190116,0
20190117,1
20190118,1
20190119,0
20190120,0
20190121,0
20190122,0
20190123,0
20190124,0
20190125,1
20190126,0
20190128,1
20190129,0
20190130,2
20190131,1
20190132,0
20190133,0
20190134,0
20190135,2
20190136,0
20190137,2
20190138,0
20190139,0
20190140,1
20190141,0
20190142,0
20190143,2
20190144,0
20190145,1
20190146,0
20190147,0
20190148,0
20190149,1
20190150,0
20190151,0
20190152,0
20190153,3
20190154,2
20190155,2
20190156,0
20190157,1
20190158,0
20190159,0
20190160,0
20190161,0
20190162,1
20190163,0
20190164,0
20190165,0
20190166,0
20190167,1
20190168,0
20190169,0
20190170,0
20190171,0
20190172,0
20190173,0
20190174,0
20190175,0
20190176,0
20190177,1
20190178,0
20190179,0
20190180,2
20190181,0
20190182,0
20190183,0
20190184,0
20190185,0
20190186,1
20190187,1
20190188,0
20190189,0
20190190,0
20190191,0
20190192,1
20190193,0
20190194,0
20190195,0
20190196,0
20190197,0
20190198,1
20190199,1
20190200,0
20190201,0
20190203,0
20190204,0
20190205,0
20190206,1
20190207,0
20190208,0
20190209,0
20190210,0
20190211,0
20190213,0
20190214,0
20190215,0
20190216,0
20190217,0
20190218,0
20190219,0
20190220,0
20190221,1
20190222,0
20190223,0
20190224,0
20190225,0
20190226,2
20190227,0
20190228,1
20190229,0
20190230,0
20190231,1
20190232,1
20190233,0
20190234,0
20190235,0
20190236,0
20190237,1
20190238,0
20190239,3
20190240,0
20190241,0
20190242,0
20190243,0
20190244,1
20190245,2
20190246,0
20190247,2
20190248,0
20190249,3
20190250,0
20190251,0
20190252,0
20190253,0
20190254,1
20190255,0
20190256,0
20190257,2
20190258,0
20190259,0
20190261,2
20190263,0
20190264,0
20190265,1
20190266,0
20190267,0
20190268,0
20190269,0
20190270,0
20190271,1
20190272,1
20190273,0
20190274,0
20190275,0
20190276,0
20190277,0
20190278,0
20190279,1
20190280,1
20190281,0
20190282,0
20190283,0
20190284,0
20190285,0
20190286,0
20190287,1
20190288,1
20190289,0
20190290,0
20190291,0
20190292,0
20190293,0
20190294,0
20190295,0
20190296,1
20190297,0
20190298,1
20190299,1
20190300,0
20190301,0
20190302,0
20190303,2
20190304,0
20190305,0
20190306,0
20190307,0
20190308,0
20190309,0
20190310,0
20190311,0
20190312,0
20190313,0
20190314,0
20190315,0
20190316,0
20190317,0
20190318,0
20190319,0
20190320,0
20190321,0
20190322,0
20190323,0
20190324,0
20190325,0
20190326,0
20190327,1
20190328,0
20190329,0
20190330,0
20190332,0
20190333,0
20190334,0
20190335,0
20190337,0
20190338,0
20190339,2
20190340,0
20190341,0
20190342,0
20190343,0
20190344,0
20190345,0
20190346,0
20190347,1
20190348,0
20190349,0
20190350,0
20190351,0
20190352,0
20190353,0
20190355,0
20190356,1
20190357,0
20190358,0
20190359,0
20190360,1
20190361,0
20190362,0
20190363,0
20190365,0
20190366,0
20190367,0
20190368,0
20190369,1
20190370,1
20190372,0
20190373,2
20190374,0
20190375,0
20190376,2
20190377,0
20190378,0
20190379,0
20190380,0
20190381,0
20190382,0
20190383,0
20190384,0
20190385,1
20190386,0
20190387,0
20190388,0
20190389,3
20190390,0
20190391,0
20190392,0
20190393,0
20190394,0
20190395,0
20190396,1
20190397,0
20190398,0
20190399,1
20190400,0
20190401,0
20190402,0
20190403,0
20190404,1
20190405,0
20190406,0
20190407,0
20190408,0
20190409,1
20190410,2
20190411,0
20190412,0
20190413,2
20190414,0
20190415,0
20190416,0
20190417,0
20190418,0
20190419,0
20190420,0
20190421,0
20190422,0
20190423,2
20190424,1
20190425,1
20190426,0
20190427,0
20190429,0
20190430,0
20190431,0
20190432,0
20190433,0
20190434,1
20190435,0
20190436,0
20190437,1
20190438,0
20190439,0
20190440,1
20190441,1
20190442,0
20190443,1
20190444,0
20190445,1
20190446,0
20190447,0
20190448,0
20190449,1
20190450,0
20190451,0
20190452,0
20190453,0
20190454,0
20190455,0
20190456,0
20190457,0
20190458,0
20190459,1
20190460,2
20190461,0
20190462,0
20190463,0
20190464,0
20190465,1
20190466,0
20190467,1
20190468,0
20190469,0
20190470,1
20190471,4
20190472,0
20190473,0
20190474,0
20190475,1
20190476,0
20190477,0
20190478,3
20190479,0
20190480,0
20190481,0
20190482,2
20190483,0
20190484,1
20190485,0
20190486,0
20190487,0
20190488,0
20190489,1
20190490,0
20190491,0
20190492,0
20190493,0
20190494,0
20190495,0
20190496,0
20190497,0
20190498,0
20190499,0
20190500,0
