NEWID,GENDER,PSLE,REPEAT,INTAKE,SEC SCHOOL,GP,KI,KI (A),MA2,FM2,CP2,PH2,CH2,BY2,EL2,EL2 (A),ELL2,EC2,EC2 (A),EH2,EH2 (A),EG2,EG2 (A),S1_2,S2_2,S3_2,S4_2,S5_2,FR2,GM2,JP2,SP2,MA1,CH1,EL1,EC1,EH1,EG1,S1_1,PW,MTL,P/F,RANK,%,MSG/GPA,PTS,NO OF CCA
20180001,M,260,NA,IP (X),SCHOOL X,C,,,B,,,A,B,,,,,C,,,,,,,,,,,,,,,,,,,,,,A,A,Passed,256,78,2,70,1
20180002,F,253,NA,JAE Ordinary Admission,METHODIST GIRLS' SCHOOL (SECONDARY),D,,,A,,,A,B,,,,,B,,,,,,,,,,,,,,,,,,,,,,A,B,Passed,185,84,1.5,72.5,1
20180003,F,262,NA,IP (Y),SCHOOL Y,C,,,S,,,D,E,,,,,D,,,,,,,,,,,,,,,,,,,,,,A,B,Passed,940,19,4.8,45,1
20180004,F,242,NA,JAE Ordinary Admission,TANJONG KATONG GIRLS' SCHOOL,,,B,,,,,,,,MC,,,U,,MC,,,,,,,,,,,,MC,,,,,,,A,A,Failed,1142,2,4.5,17.5,1
20180005,M,237,NA,JAE Ordinary Admission,MARIS STELLA HIGH SCHOOL,D,,,A,,,D,C,,,,,E,,,,,,,,,,,,,,,,,,,,,,B,B,Passed,624,46,3.3,58.75,1
20180006,M,246,NA,JAE Ordinary Admission,CATHOLIC HIGH SCHOOL,,A,,B,,,,B,A,,,,,,,,,,,,,,,,,,,,,,,,,,A,B,Passed,125,89,1.5,75,1
20180007,M,261,NA,IP (X),SCHOOL X,B,,,A,,,B,C,,,,,B,,,,,,,,,,,,,,,,,,,,,,A,A,Passed,218,81,2,71.25,1
20180008,M,263,NA,IP (X),SCHOOL X,C,,,E,,,,B,B,,,,D,,,,,,,,,,,,,,,,,,,,,,A,B,Passed,583,50,3.3,60,2
20180009,F,251,NA,IP (Y),SCHOOL Y,C,,,E,,,,E,S,,,,C,,,,,,,,,,,,,,,,,,,,,,A,A,Passed,940,19,4.8,45,2
20180010,F,247,NA,IP (Y),SCHOOL Y,C,,,C,,,,E,E,,,,C,,,,,,,,,,,,,,,,,,,,,,A,A,Passed,789,32,4,52.5,1
20180011,F,258,NA,IP (Y),SCHOOL Y,C,,,C,,,,D,B,,,,D,,,,,,,,,,,,,,,,,,,,,,A,B,Passed,624,46,3.3,58.75,1
20180012,F,256,NA,JAE Ordinary Admission,CHIJ ST. NICHOLAS GIRLS' SCHOOL,S,,,B,,,,B,C,,,,C,,,,,,,,,,,,,,,,,,,,,,A,A,Passed,583,50,2.5,60,0
20180013,F,258,NA,IP (Y),SCHOOL Y,C,,,B,,,,B,A,,,,,,,,,,,,,B,,,,,,,,,,,,,A,A,Passed,218,81,1.8,71.25,1
20180014,F,240,NA,JAE Ordinary Admission,CRESCENT GIRLS' SCHOOL,C,,,C,,,,D,C,,,,D,,,,,,,,,,,,,,,,,,,,,,A,A,Passed,702,39,3.5,56.25,1
20180015,M,0,NA,DSA,BUKIT PANJANG GOVT. HIGH SCHOOL,C,,,A,,,A,A,,,,,B,,,,,,,,,,,,,,,,,,,,,,A,D,Passed,91,92,1.3,76.25,2
20180016,F,257,NA,IP (Y),SCHOOL Y,,A,,B,,,B,C,,,,,,,,,,,,,,,,,,,,,,,B,,,,A,B,Passed,218,81,2,71.25,1
20180017,F,260,NA,IP (Y),SCHOOL Y,B,,,A,,,A,A,,,,,A,,,,,,,,,,,,,,,,,,,,,,A,A,Passed,23,98,1,78.75,2
20180018,F,259,NA,IP (Y),SCHOOL Y,C,,,D,,,,C,B,,,,,,,,,,B,,,,,,,,,,,,,,,,A,A,Passed,473,59,2.8,63.75,1
20180019,F,244,NA,DSA,CHIJ SECONDARY (TOA PAYOH),C,,,U,,,D,,,B,,,,,,,,,B,,,,,,,,,,,,,,,,A,B,Passed,742,36,3.8,55,1
20180020,M,252,NA,IP (X),SCHOOL X,D,,,D,,,,D,C,,,,B,,,,,,,,,,,,,,,,,,,,,,A,C,Passed,665,43,3.3,57.5,2
20180021,M,254,NA,IP (X),SCHOOL X,D,,,A,,,A,B,,,,,C,,,,,,,,,,,,,,,,,,,,,,A,A,Passed,218,81,1.8,71.25,1
20180022,M,261,NA,IP (X),SCHOOL X,B,,,A,,,,C,A,,,,B,,,,,,,,,,,,,,,,,,,,,,A,A,Passed,164,86,1.8,73.75,1
20180023,F,245,NA,DSA (CCA),SINGAPORE CHINESE GIRLS' SCHOOL,D,,,E,,,,D,E,,,,C,,,,,,,,,,,,,,,,,,,,,,A,E,Passed,868,25,4.3,48.75,1
20180024,M,256,NA,IP (X),SCHOOL X,B,,,C,,,,A,A,,,,B,,,,,,,,,,,,,,,,,,,,,,A,C,Passed,164,86,1.8,73.75,1
20180025,F,242,NA,IP (Y),SCHOOL Y,E,,,C,,,E,D,,,,,D,,,,,,,,,,,,,,,,,,,,,,A,A,Passed,833,28,4,50,1
20180026,F,251,NA,JAE Ordinary Admission,METHODIST GIRLS' SCHOOL (SECONDARY),B,,,B,,,,B,A,,,,B,,,,,,,,,,,,,,,,,,,,,,B,C,Passed,185,84,1.8,72.5,1
20180027,F,254,NA,IP (Y),SCHOOL Y,D,,,,,,,,,C,,,D,,D,,,,,,,,,,,,,A,,,,,,,A,A,Passed,702,39,3.3,56.25,2
20180028,M,243,NA,JAE Ordinary Admission,NAN HUA HIGH SCHOOL,E,,,A,A,,A,,,,,,B,,,,,,,,,,,,,,,,,,,,,,A,A,Passed,164,86,1.3,73.75,1
20180029,F,261,NA,IP (Y),SCHOOL Y,D,,,C,,,C,D,,,,,MC,,,,,,,,,,,,,,,,,,,,,,A,A,Passed,868,25,3.3,48.75,2
20180030,M,256,NA,IP (X),SCHOOL X,A,,,B,,,B,A,,,,,C,,,,,,,,,,,,,,,,,,,,,,A,B,Passed,185,84,2,72.5,2
20180031,M,254,NA,IP (X),SCHOOL X,C,,,D,,,D,D,,,,,B,,,,,,,,,,,,,,,,,,,,,,A,B,Passed,702,39,3.5,56.25,1
20180032,F,246,NA,IP (Y),SCHOOL Y,D,,,E,,,,E,D,,,,D,,,,,,,,,,,,,,,,,,,,,,A,B,Passed,923,20,4.5,46.25,1
20180033,F,256,NA,IP (Y),SCHOOL Y,B,,,C,,,B,C,,,,,B,,,,,,,,,,,,,,,,,,,,,,A,A,Passed,398,65,2.5,66.25,2
