SN,NEWID,GENDER,PSLE,REPEAT,INTAKE,SEC SCHOOL,KI,GP,KI (A),MA2,FM2,CP2,PH2,CH2,BY2,EL2,EL2 (A),ELL2,EC2,EC2 (A),EH2,EH2 (A),EG2,EG2 (A),S1_2,S2_2,S3_2,S4_2,S5_2,FR2,GM2,JP2,SP2,MA1,CH1,EL1,EC1,EH1,EG1,S1_1,NO OF CCA
1,20180001,M,260,NA,IP (X),SCHOOL X,,54.6,,62.3,,,72.2,65.8,,,,,55,,,,,,,,,,,,,,,,,,,,,,1
2,20180002,F,253,NA,JAE Ordinary Admission,METHODIST GIRLS' SCHOOL (SECONDARY),,52.6,,71,,,73.4,64.4,,,,,59.6,,,,,,,,,,,,,,,,,,,,,,1
3,20180003,F,262,NA,IP (Y),SCHOOL Y,,56.2,,40.5,,,52.5,48.4,,,,,54.4,,,,,,,,,,,,,,,,,,,,,,1
4,20180004,F,242,NA,JAE Ordinary Admission,TANJONG KATONG GIRLS' SCHOOL,,,61.8,,,,,,,,MC,,,27.3,,MC,,,,,,,,,,,,MC,,,,,,,1
5,20180005,M,237,NA,JAE Ordinary Admission,MARIS STELLA HIGH SCHOOL,,50.2,,68.8,,,52.6,58.7,,,,,48.9,,,,,,,,,,,,,,,,,,,,,,1
6,20180006,M,246,NA,JAE Ordinary Admission,CATHOLIC HIGH SCHOOL,70.7,,,61.9,,,,68.1,71.8,,,,,,,,,,,,,,,,,,,,,,,,,,1
7,20180007,M,261,NA,IP (X),SCHOOL X,,60.2,,77.8,,,60.4,57.7,,,,,67.5,,,,,,,,,,,,,,,,,,,,,,1
8,20180008,M,263,NA,IP (X),SCHOOL X,,58.3,,42.6,,,,63.2,61.1,,,,53.4,,,,,,,,,,,,,,,,,,,,,,2
9,20180009,F,251,NA,IP (Y),SCHOOL Y,,55.8,,46.5,,,,44.5,42.4,,,,57.5,,,,,,,,,,,,,,,,,,,,,,2
10,20180010,F,247,NA,IP (Y),SCHOOL Y,,55.8,,55.5,,,,45.7,49.1,,,,58.4,,,,,,,,,,,,,,,,,,,,,,1
11,20180011,F,258,NA,IP (Y),SCHOOL Y,,58.1,,54.9,,,,52.8,59.9,,,,53,,,,,,,,,,,,,,,,,,,,,,1
12,20180012,F,256,NA,JAE Ordinary Admission,CHIJ ST. NICHOLAS GIRLS' SCHOOL,,44.2,,65.3,,,,64.6,59.4,,,,54.9,,,,,,,,,,,,,,,,,,,,,,0
13,20180013,F,258,NA,IP (Y),SCHOOL Y,,58.1,,58.6,,,,68.4,77.5,,,,,,,,,,,,,66.8,,,,,,,,,,,,,1
14,20180014,F,240,NA,JAE Ordinary Admission,CRESCENT GIRLS' SCHOOL,,55.8,,54.8,,,,49.9,57.2,,,,52.6,,,,,,,,,,,,,,,,,,,,,,1
15,20180015,M,0,NA,DSA,BUKIT PANJANG GOVT. HIGH SCHOOL,,56.5,,76.1,,,75.3,74.6,,,,,59.6,,,,,,,,,,,,,,,,,,,,,,2
16,20180016,F,257,NA,IP (Y),SCHOOL Y,70.4,,,62.6,,,65.1,57.1,,,,,,,,,,,,,,,,,,,,,,,63.2,,,,1
17,20180017,F,260,NA,IP (Y),SCHOOL Y,,62,,69.7,,,78.9,74.1,,,,,71.9,,,,,,,,,,,,,,,,,,,,,,2
18,20180018,F,259,NA,IP (Y),SCHOOL Y,,59.1,,52.2,,,,59.1,61.5,,,,,,,,,,61.3,,,,,,,,,,,,,,,,1
19,20180019,F,244,NA,DSA,CHIJ SECONDARY (TOA PAYOH),,56.2,,33.7,,,52.3,,,60.4,,,,,,,,,68,,,,,,,,,,,,,,,,1
20,20180020,M,252,NA,IP (X),SCHOOL X,,49.8,,51.2,,,,53.1,58.5,,,,69.2,,,,,,,,,,,,,,,,,,,,,,2
21,20180021,M,254,NA,IP (X),SCHOOL X,,52.2,,69.7,,,70,67.7,,,,,57.5,,,,,,,,,,,,,,,,,,,,,,1
22,20180022,M,261,NA,IP (X),SCHOOL X,,64.1,,69.1,,,,56,76.6,,,,59.5,,,,,,,,,,,,,,,,,,,,,,1
23,20180023,F,245,NA,DSA (CCA),SINGAPORE CHINESE GIRLS' SCHOOL,,52.2,,47,,,,52.7,48.6,,,,57.3,,,,,,,,,,,,,,,,,,,,,,1
24,20180024,M,256,NA,IP (X),SCHOOL X,,60.8,,56.9,,,,78.8,80.6,,,,66.2,,,,,,,,,,,,,,,,,,,,,,1
25,20180025,F,242,NA,IP (Y),SCHOOL Y,,44.8,,53.7,,,47.6,50.2,,,,,51.1,,,,,,,,,,,,,,,,,,,,,,1
26,20180026,F,251,NA,JAE Ordinary Admission,METHODIST GIRLS' SCHOOL (SECONDARY),,63,,64.1,,,,61.7,73.2,,,,62.2,,,,,,,,,,,,,,,,,,,,,,1
27,20180027,F,254,NA,IP (Y),SCHOOL Y,,52.2,,,,,,,,57.2,,,49.5,,50.1,,,,,,,,,,,,,73.4,,,,,,,2
28,20180028,M,243,NA,JAE Ordinary Admission,NAN HUA HIGH SCHOOL,,49.4,,87.2,70.9,,83,,,,,,63.4,,,,,,,,,,,,,,,,,,,,,,1
29,20180029,F,261,NA,IP (Y),SCHOOL Y,,53.3,,54.3,,,56.6,52,,,,,MC,,,,,,,,,,,,,,,,,,,,,,2
30,20180030,M,256,NA,IP (X),SCHOOL X,,65.1,,66.8,,,67.2,74.4,,,,,58.5,,,,,,,,,,,,,,,,,,,,,,2
31,20180031,M,254,NA,IP (X),SCHOOL X,,55.8,,48.1,,,52.4,53.1,,,,,59.7,,,,,,,,,,,,,,,,,,,,,,1
32,20180032,F,246,NA,IP (Y),SCHOOL Y,,51.4,,43,,,,45.4,53.4,,,,50.6,,,,,,,,,,,,,,,,,,,,,,1
33,20180033,F,256,NA,IP (Y),SCHOOL Y,,60.2,,56.1,,,61.9,58.1,,,,,63.7,,,,,,,,,,,,,,,,,,,,,,2
34,20180034,F,249,NA,JAE Ordinary Admission,BUKIT PANJANG GOVT. HIGH SCHOOL,,54.8,,57,,,68,56.6,,,,,60.8,,,,,,,,,,,,,,,,,,,,,,1
35,20180035,F,259,NA,IP (Y),SCHOOL Y,,66.8,,80.3,,,77.6,72.9,,,,,,,,,,,,,,73.2,,,,,,,,,,,,,2
36,20180036,F,251,NA,DSA,SINGAPORE CHINESE GIRLS' SCHOOL,,62.3,,54.1,,,,67.2,77.7,,,,60.3,,,,,,,,,,,,,,,,,,,,,,2
37,20180037,F,249,NA,DSA (CCA),CRESCENT GIRLS' SCHOOL,,62,,47.2,,,61.3,52.5,,,,,38.7,,,,,,,,,,,,,,,,,,,,,,1
38,20180038,M,264,NA,IP (X),SCHOOL X,,56.9,,38.4,,,,42.4,41.3,,,,48.7,,,,,,,,,,,,,,,,,,,,,,1
39,20180039,F,259,NA,Appeals (Academic),NATIONAL JUNIOR COLLEGE (IP),,64,,48.6,,,59.1,60.5,,,,,EX,,,,,,,,,,,,,,,,,,,,,,2
40,20180040,F,259,NA,IP (Y),SCHOOL Y,,54.8,,70.3,,,64.3,68.5,,,,,55.8,,,,,,,,,,,,,,,,,,,,,,1
41,20180041,F,249,NA,JAE Ordinary Admission,METHODIST GIRLS' SCHOOL (SECONDARY),,52.3,,32.3,,,,57.2,65.4,,,58.8,,,,,,,,,,,,,,,,,,,,,,,1
42,20180042,F,258,Repeat Yr2,IP (Y),SCHOOL Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
43,20180043,F,231,NA,JAE Ordinary Admission,CHIJ SECONDARY (TOA PAYOH),,56,,49.9,,,,64,69.5,,,,56.1,,,,,,,,,,,,,,,,,,,,,,1
44,20180044,F,247,NA,IP (Y),SCHOOL Y,,52.5,,57.8,,67.8,55.6,,,,,,,,,,,,,,,,,,,,,,,,60.9,,,,1
