SN,NEWID,GENDER,PSLE,REPEAT,INTAKE,SEC SCHOOL,KI,GP,KI (A),MA2,FM2,CP2,PH2,CH2,BY2,EL2,EL2 (A),ELL2,EC2,EC2 (A),EH2,EH2 (A),EG2,EG2 (A),S1_2,S2_2,S3_2,S4_2,S5_2,FR2,GM2,JP2,SP2,MA1,CH1,EL1,EC1,EH1,EG1,S1_1,NO OF CCA
1,20180001,M,260,NA,IP (X),SCHOOL X,,0.56,,0.69,,,0.78,0.71,,,,,0.44,,,,,,,,,,,,,,,,,,,,,,1
2,20180002,F,253,NA,JAE Ordinary Admission,METHODIST GIRLS' SCHOOL (SECONDARY),,0.44,,0.85,,,0.8,0.68,,,,,0.68,,,,,,,,,,,,,,,,,,,,,,1
3,20180003,F,262,NA,IP (Y),SCHOOL Y,,0.66,,0.16,,,0.27,0.22,,,,,0.41,,,,,,,,,,,,,,,,,,,,,,1
4,20180004,F,242,NA,JAE Ordinary Admission,TANJONG KATONG GIRLS' SCHOOL,,,0.14,,,,,,,,MC,,,0.02,,MC,,,,,,,,,,,,MC,,,,,,,1
5,20180005,M,237,NA,JAE Ordinary Admission,MARIS STELLA HIGH SCHOOL,,0.27,,0.81,,,0.27,0.53,,,,,0.16,,,,,,,,,,,,,,,,,,,,,,1
6,20180006,M,246,NA,JAE Ordinary Admission,CATHOLIC HIGH SCHOOL,0.58,,,0.68,,,,0.76,0.79,,,,,,,,,,,,,,,,,,,,,,,,,,1
7,20180007,M,261,NA,IP (X),SCHOOL X,,0.86,,0.93,,,0.48,0.5,,,,,0.93,,,,,,,,,,,,,,,,,,,,,,1
8,20180008,M,263,NA,IP (X),SCHOOL X,,0.78,,0.2,,,,0.64,0.47,,,,0.37,,,,,,,,,,,,,,,,,,,,,,2
9,20180009,F,251,NA,IP (Y),SCHOOL Y,,0.63,,0.3,,,,0.13,0.05,,,,0.58,,,,,,,,,,,,,,,,,,,,,,2
10,20180010,F,247,NA,IP (Y),SCHOOL Y,,0.63,,0.53,,,,0.15,0.14,,,,0.63,,,,,,,,,,,,,,,,,,,,,,1
11,20180011,F,258,NA,IP (Y),SCHOOL Y,,0.77,,0.52,,,,0.33,0.42,,,,0.35,,,,,,,,,,,,,,,,,,,,,,1
12,20180012,F,256,NA,JAE Ordinary Admission,CHIJ ST. NICHOLAS GIRLS' SCHOOL,,0.05,,0.75,,,,0.68,0.4,,,,0.43,,,,,,,,,,,,,,,,,,,,,,0
13,20180013,F,258,NA,IP (Y),SCHOOL Y,,0.77,,0.61,,,,0.77,0.91,,,,,,,,,,,,,0.7,,,,,,,,,,,,,1
14,20180014,F,240,NA,JAE Ordinary Admission,CRESCENT GIRLS' SCHOOL,,0.63,,0.51,,,,0.25,0.34,,,,0.33,,,,,,,,,,,,,,,,,,,,,,1
15,20180015,M,0,NA,DSA,BUKIT PANJANG GOVT. HIGH SCHOOL,,0.68,,0.91,,,0.85,0.89,,,,,0.68,,,,,,,,,,,,,,,,,,,,,,2
16,20180016,F,257,NA,IP (Y),SCHOOL Y,0.54,,,0.69,,,0.62,0.48,,,,,,,,,,,,,,,,,,,,,,,0.81,,,,1
17,20180017,F,260,NA,IP (Y),SCHOOL Y,,0.91,,0.83,,,0.91,0.88,,,,,0.98,,,,,,,,,,,,,,,,,,,,,,2
18,20180018,F,259,NA,IP (Y),SCHOOL Y,,0.81,,0.45,,,,0.54,0.48,,,,,,,,,,0.37,,,,,,,,,,,,,,,,1
19,20180019,F,244,NA,DSA,CHIJ SECONDARY (TOA PAYOH),,0.66,,0.07,,,0.26,,,0.65,,,,,,,,,0.68,,,,,,,,,,,,,,,,1
20,20180020,M,252,NA,IP (X),SCHOOL X,,0.25,,0.42,,,,0.35,0.39,,,,0.95,,,,,,,,,,,,,,,,,,,,,,2
21,20180021,M,254,NA,IP (X),SCHOOL X,,0.41,,0.83,,,0.74,0.75,,,,,0.58,,,,,,,,,,,,,,,,,,,,,,1
22,20180022,M,261,NA,IP (X),SCHOOL X,,0.96,,0.82,,,,0.43,0.89,,,,0.66,,,,,,,,,,,,,,,,,,,,,,1
23,20180023,F,245,NA,DSA (CCA),SINGAPORE CHINESE GIRLS' SCHOOL,,0.41,,0.31,,,,0.33,0.13,,,,0.57,,,,,,,,,,,,,,,,,,,,,,1
24,20180024,M,256,NA,IP (X),SCHOOL X,,0.88,,0.57,,,,0.94,0.95,,,,0.9,,,,,,,,,,,,,,,,,,,,,,1
25,20180025,F,242,NA,IP (Y),SCHOOL Y,,0.06,,0.49,,,0.13,0.26,,,,,0.25,,,,,,,,,,,,,,,,,,,,,,1
26,20180026,F,251,NA,JAE Ordinary Admission,METHODIST GIRLS' SCHOOL (SECONDARY),,0.94,,0.73,,,,0.6,0.83,,,,0.78,,,,,,,,,,,,,,,,,,,,,,1
27,20180027,F,254,NA,IP (Y),SCHOOL Y,,0.41,,,,,,,,0.36,,,0.18,,0.3,,,,,,,,,,,,,0.9,,,,,,,2
28,20180028,M,243,NA,JAE Ordinary Admission,NAN HUA HIGH SCHOOL,,0.22,,0.99,0.91,,0.96,,,,,,0.83,,,,,,,,,,,,,,,,,,,,,,1
29,20180029,F,261,NA,IP (Y),SCHOOL Y,,0.48,,0.5,,,0.37,0.31,,,,,MC,,,,,,,,,,,,,,,,,,,,,,2
30,20180030,M,256,NA,IP (X),SCHOOL X,,0.97,,0.78,,,0.68,0.88,,,,,0.64,,,,,,,,,,,,,,,,,,,,,,2
