NEWID,MA2,FM2,MA1,MA3-MOE
20180001,A,,,
20180002,A,,,
20180003,A,,,
20180004,,,,
20180005,A,,,
20180006,A,,,
20180007,A,,,
20180008,B,,,
20180009,B,,,
20180010,A,,,
20180011,A,,,
20180012,A,,,
20180013,A,,,
20180014,A,,,
20180015,A,,,ME
20180016,A,,,
20180017,A,,,
20180018,A,,,
20180019,,,B,
20180020,A,,,
20180021,A,,,
20180022,A,,,ME
20180023,A,,,
20180024,A,,,
20180025,A,,,
20180026,A,,,
20180027,,,A,
20180028,A,A,,
20180029,A,,,
20180030,A,,,
20180031,A,,,
20180032,A,,,
20180033,A,,,
20180034,A,,,
20180035,A,,,
20180036,A,,,
20180037,A,,,
20180038,B,,,
20180039,A,,,
20180040,A,,,
20180041,B,,,
20180042,A,,,
20180043,A,,,
20180044,A,,,
20180045,A,,,
20180046,C,,,
20180047,A,,,
20180048,,,A,
20180049,A,,,
20180050,A,,,
20180051,C,,,
20180052,B,,,
20180053,A,,,
20180054,B,,,
20180055,A,,,
20180056,C,,,
20180057,A,,,
20180058,A,,,
20180059,C,,,
20180060,B,,,
20180061,A,,,
20180062,A,,,
20180063,A,,,
20180064,A,,,
20180065,A,,,
20180066,A,,,
20180067,A,,,
20180068,B,,,
20180069,A,,,
20180070,B,,,
20180071,A,,,
20180072,A,,,
20180073,A,,,
20180074,A,,,
20180075,A,,,
20180076,A,,,
20180077,A,,,
20180078,D,,,
20180079,,,B,
20180080,A,,,
20180081,,,A,
20180082,A,,,ME
20180083,A,,,
20180084,A,,,
20180085,A,,,
20180086,A,,,
20180087,A,,,
20180088,A,,,
20180089,A,,,
20180090,A,,,
20180091,A,,,
20180092,A,,,
20180093,A,,,
20180094,A,,,
20180095,,,A,
20180096,B,,,
20180097,B,,,
20180098,A,,,
20180099,A,,,
20180100,A,,,
20180101,A,,,
20180102,A,,,
20180103,A,B,,
20180104,A,,,
20180105,A,,,
20180106,A,,,
20180107,,,A,
20180108,A,,,
20180109,B,,,
20180110,A,,,
20180111,A,,,
20180112,A,,,
20180113,A,,,
20180114,B,,,
20180115,A,,,
20180116,A,,,
20180117,A,,,
20180118,A,,,
20180119,A,,,
20180120,B,,,
20180121,A,,,
20180122,A,,,
20180123,A,,,
20180124,A,,,
20180125,A,A,,DI
20180126,C,,,
20180127,A,,,
20180128,B,,,
20180129,,,C,
20180130,A,,,
20180131,,,A,
20180132,A,,,
20180133,A,,,
20180134,B,,,
20180135,B,,,
20180136,A,,,
20180137,A,,,
20180138,A,,,
20180139,B,,,
20180140,A,,,
20180141,B,,,
20180142,A,,,
20180143,A,,,
20180144,A,,,
20180145,A,,,
20180146,A,,,
20180147,B,,,
20180148,D,,,
20180149,C,,,
20180150,A,,,
20180151,A,,,
20180152,A,,,
20180153,A,,,
20180154,A,,,
20180155,A,,,
20180156,A,,,
20180157,A,B,,
20180158,A,,,
20180159,A,,,
20180160,D,,,
20180161,A,,,
20180162,A,,,
20180163,A,,,
20180164,A,,,
20180165,A,,,
20180166,A,,,
20180167,A,,,
20180168,A,,,
20180169,B,,,
20180170,A,,,
20180171,A,,,
20180172,,,,
20180173,D,,,
20180174,A,,,
20180175,B,,,
20180176,A,,,
20180177,A,,,
20180178,C,,,
20180179,A,,,ME
20180180,A,,,
20180181,,,A,
20180182,C,,,
20180183,B,,,
20180184,B,,,
20180185,A,,,
20180186,A,,,
20180187,A,,,
20180188,A,,,
20180189,A,,,
20180190,A,,,
20180191,A,,,
20180192,B,,,
20180193,A,,,
20180194,B,,,
20180195,S,,,
20180196,B,,,
20180197,A,,,
20180198,A,,,
20180199,A,,,
20180200,A,,,
20180201,A,,,
20180202,A,,,
20180203,A,,,
20180204,A,,,
20180205,A,,,
20180206,A,,,
20180207,C,,,
20180208,A,,,
20180209,B,,,
20180210,A,,,
20180211,A,,,
20180212,B,,,
20180213,A,,,
20180214,A,,,
20180215,A,A,,DI
20180216,A,,,
20180217,A,,,
20180218,A,,,
20180219,A,,,
20180220,A,,,
20180221,C,,,
20180222,A,,,
20180223,D,,,
20180224,A,,,
20180225,B,,,
20180226,A,,,
20180227,A,,,
20180228,A,,,
20180229,A,,,
20180230,,,B,
20180231,A,,,
20180232,A,,,
20180233,A,,,
20180234,B,,,
20180235,A,,,
20180236,A,,,
20180237,A,,,
20180238,A,,,
20180239,A,,,
