NEWID,GENDER,PSLE,REPEAT,INTAKE,SEC SCHOOL,PW,GP,KI,KI (A),MA2,FM2,CP2,PH2,CH2,BY2,EL2,EL2 (A),ELL2,EC2,EC2 (A),EH2,EH2 (A),EG2,EG2 (A),S1_2,S2_2,S3_2,S4_2,S5_2,FR2,GM2,JP2,SP2,MA1,PH1,CH1,BY1,EL1,EC1,EH1,EG1,MA3-MOE,PH3-MOE,CH3-MOE,BY3-MOE,EC3-MOE,S1_3-MOE,PW,MTL,P/F,RANK,%,MSG/GPA,PTS,NO OF CCA
20180001,M,260,NA,IP (X),SCHOOL X,A,B,,,A,,,B,A,,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,A,Passed,192,83,1.4,85,1
20180002,F,253,NA,JAE Ordinary Admission,METHODIST GIRLS' SCHOOL (SECONDARY),A,C,,,A,,,B,A,,,,,E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,B,Passed,420,63,2.1,80,1
20180003,F,262,NA,IP (Y),SCHOOL Y,A,C,,,B,,,S,E,,,,,E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,B,Passed,987,14,4.1,57.5,1
20180004,F,242,NA,JAE Ordinary Admission,TANJONG KATONG GIRLS' SCHOOL,A,,,B,,,,,,,,C,,,E,,C,,,,,,,,,,,,,,,,,,,,,,,,,,A,A,Passed,836,27,3,67.5,1
20180005,M,237,NA,JAE Ordinary Admission,MARIS STELLA HIGH SCHOOL,B,D,,,C,,,D,B,,,,,E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B,B,Passed,887,23,3.3,65,1
20180006,M,246,NA,JAE Ordinary Admission,CATHOLIC HIGH SCHOOL,A,,A,,B,,,,A,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ME,,,A,B,Passed,65,94,1.2,87.5,1
20180007,M,261,NA,IP (X),SCHOOL X,A,B,,,A,,,C,B,,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,A,Passed,361,68,1.9,81.25,1
20180008,M,263,NA,IP (X),SCHOOL X,A,C,,,S,,,,B,B,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,B,Passed,792,31,3,70,2
20180009,F,251,NA,IP (Y),SCHOOL Y,A,B,,,C,,,,B,B,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,A,Passed,470,59,2.1,78.75,2
20180010,F,247,NA,IP (Y),SCHOOL Y,A,C,,,B,,,,B,B,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,A,Passed,531,54,2.1,77.5,1
20180011,F,258,NA,IP (Y),SCHOOL Y,A,A,,,A,,,,B,B,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,B,Passed,309,73,1.9,82.5,1
20180012,F,256,NA,JAE Ordinary Admission,CHIJ ST. NICHOLAS GIRLS' SCHOOL,A,D,,,A,,,,B,B,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,A,Passed,470,59,1.9,78.75,0
20180013,F,258,NA,IP (Y),SCHOOL Y,A,B,,,E,,,,A,A,,,,,,,,,,,,,B,,,,,,,,,,,,,,,,,,,,A,A,Passed,361,68,2.1,81.25,1
20180014,F,240,NA,JAE Ordinary Admission,CRESCENT GIRLS' SCHOOL,A,C,,,B,,,,C,B,,,,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,A,Passed,688,40,2.6,73.75,1
20180015,M,0,NA,DSA,BUKIT PANJANG GOVT. HIGH SCHOOL,A,B,,,B,,,A,A,,,,,B,,,,,,,,,,,,,,,,,,,,,,,PA,,,,,,A,D,Passed,192,83,1.4,85,2
20180016,F,257,NA,IP (Y),SCHOOL Y,A,,A,,B,,,C,B,,,,,,,,,,,,,,,,,,,,,,,,,B,,,,,,,,,A,B,Passed,361,68,1.9,81.25,1
