SN,NEWID,GENDER,PSLE,REPEAT,INTAKE,SEC SCHOOL,PW,KI,GP,KI (A),MA2,FM2,CP2,PH2,CH2,BY2,EL2,EL2 (A),ELL2,EC2,EC2 (A),EH2,EH2 (A),EG2,EG2 (A),S1_2,S2_2,S3_2,S4_2,S5_2,FR2,GM2,JP2,SP2,MA1,PH1,CH1,BY1,EL1,EC1,EH1,EG1,MA3-MOE,PH3-MOE,CH3-MOE,BY3-MOE,EC3-MOE,S1_3-MOE,NO OF CCA
1,20180001,M,260,NA,IP (X),SCHOOL X,0,,63,,69.5,,,63.9,78,,,,,60.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
2,20180002,F,253,NA,JAE Ordinary Admission,METHODIST GIRLS' SCHOOL (SECONDARY),0,,59,,84,,,65.9,71,,,,,46.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
3,20180003,F,262,NA,IP (Y),SCHOOL Y,0,,57,,61.5,,,41.1,48.2,,,,,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
4,20180004,F,242,NA,JAE Ordinary Admission,TANJONG KATONG GIRLS' SCHOOL,0,,,62.5,,,,,,,,59,,,44.9,,54.5,,,,,,,,,,,,,,,,,,,,,,,,,,1
5,20180005,M,237,NA,JAE Ordinary Admission,MARIS STELLA HIGH SCHOOL,0,,52,,56.5,,,50,61.2,,,,,47.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
6,20180006,M,246,NA,JAE Ordinary Admission,CATHOLIC HIGH SCHOOL,0,72.5,,,66.5,,,,75,71.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69.3,,,1
7,20180007,M,261,NA,IP (X),SCHOOL X,0,,67,,80.5,,,59.4,62.4,,,,,59.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
8,20180008,M,263,NA,IP (X),SCHOOL X,0,,58,,44,,,,62.8,60.8,,,,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
9,20180009,F,251,NA,IP (Y),SCHOOL Y,0,,69,,58.5,,,,66.3,66.7,,,,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
10,20180010,F,247,NA,IP (Y),SCHOOL Y,0,,58,,61,,,,61.4,63.8,,,,58.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
11,20180011,F,258,NA,IP (Y),SCHOOL Y,0,,73,,72,,,,65.6,65.3,,,,56.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
12,20180012,F,256,NA,JAE Ordinary Admission,CHIJ ST. NICHOLAS GIRLS' SCHOOL,0,,50,,79,,,,66.4,69.3,,,,54.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
13,20180013,F,258,NA,IP (Y),SCHOOL Y,0,,68,,49,,,,75.3,73.4,,,,,,,,,,,,,68.1,,,,,,,,,,,,,,,,,,,,1
14,20180014,F,240,NA,JAE Ordinary Admission,CRESCENT GIRLS' SCHOOL,0,,55,,66,,,,59,59.8,,,,53.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
15,20180015,M,0,NA,DSA,BUKIT PANJANG GOVT. HIGH SCHOOL,0,,67,,67,,,73,80.7,,,,,64.8,,,,,,,,,,,,,,,,,,,,,,,48,,,,,,2
16,20180016,F,257,NA,IP (Y),SCHOOL Y,0,75.8,,,66.5,,,58.4,61,,,,,,,,,,,,,,,,,,,,,,,,,62.2,,,,,,,,,1
