SN,NEWID,GENDER,PSLE,REPEAT,INTAKE,SEC SCHOOL,PW,KI,GP,KI (A),MA2,FM2,CP2,PH2,CH2,BY2,EL2,EL2 (A),ELL2,EC2,EC2 (A),EH2,EH2 (A),EG2,EG2 (A),S1_2,S2_2,S3_2,S4_2,S5_2,FR2,GM2,JP2,SP2,MA1,PH1,CH1,BY1,EL1,EC1,EH1,EG1,MA3-MOE,PH3-MOE,CH3-MOE,BY3-MOE,EC3-MOE,S1_3-MOE,NO OF CCA
1,20180001,M,260,NA,IP (X),SCHOOL X,1,,0.78,,0.66,,,0.62,0.81,,,,,0.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
2,20180002,F,253,NA,JAE Ordinary Admission,METHODIST GIRLS' SCHOOL (SECONDARY),1,,0.55,,0.95,,,0.71,0.6,,,,,0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
3,20180003,F,262,NA,IP (Y),SCHOOL Y,1,,0.43,,0.45,,,0.08,0.07,,,,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
4,20180004,F,242,NA,JAE Ordinary Admission,TANJONG KATONG GIRLS' SCHOOL,1,,,0.07,,,,,,,,0.07,,,0.08,,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,1
5,20180005,M,237,NA,JAE Ordinary Admission,MARIS STELLA HIGH SCHOOL,1,,0.16,,0.32,,,0.24,0.32,,,,,0.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
6,20180006,M,246,NA,JAE Ordinary Admission,CATHOLIC HIGH SCHOOL,1,0.23,,,0.58,,,,0.73,0.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.72,,,1
7,20180007,M,261,NA,IP (X),SCHOOL X,1,,0.89,,0.91,,,0.49,0.34,,,,,0.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
8,20180008,M,263,NA,IP (X),SCHOOL X,1,,0.49,,0.1,,,,0.35,0.35,,,,0.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
9,20180009,F,251,NA,IP (Y),SCHOOL Y,1,,0.93,,0.38,,,,0.46,0.57,,,,0.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
10,20180010,F,247,NA,IP (Y),SCHOOL Y,1,,0.49,,0.43,,,,0.32,0.45,,,,0.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
11,20180011,F,258,NA,IP (Y),SCHOOL Y,1,,0.97,,0.74,,,,0.43,0.51,,,,0.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
12,20180012,F,256,NA,JAE Ordinary Admission,CHIJ ST. NICHOLAS GIRLS' SCHOOL,1,,0.08,,0.89,,,,0.46,0.67,,,,0.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
13,20180013,F,258,NA,IP (Y),SCHOOL Y,1,,0.91,,0.17,,,,0.74,0.81,,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,1
14,20180014,F,240,NA,JAE Ordinary Admission,CRESCENT GIRLS' SCHOOL,1,,0.29,,0.57,,,,0.27,0.31,,,,0.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
15,20180015,M,0,NA,DSA,BUKIT PANJANG GOVT. HIGH SCHOOL,1,,0.89,,0.59,,,0.84,0.87,,,,,0.87,,,,,,,,,,,,,,,,,,,,,,,0.17,,,,,,2
16,20180016,F,257,NA,IP (Y),SCHOOL Y,1,0.56,,,0.58,,,0.47,0.31,,,,,,,,,,,,,,,,,,,,,,,,,0.65,,,,,,,,,1
17,20180017,F,260,NA,IP (Y),SCHOOL Y,1,,0.91,,0.93,,,0.89,0.92,,,,,0.91,,,,,,,,,,,,,,,,,,,,,,,,,0.86,,,,2
18,20180018,F,259,NA,IP (Y),SCHOOL Y,1,,0.67,,0.7,,,,0.32,0.45,,,,,,,,,,0.31,,,,,,,,,,,,,,,,,,,,,,0.56,1
19,20180019,F,244,NA,DSA,CHIJ SECONDARY (TOA PAYOH),1,,0.78,,,,,0.31,,,0.6,,,,,,,,,0.81,,,,,,,,,0.82,,,,,,,,,,,,,0.68,1
20,20180020,M,252,NA,IP (X),SCHOOL X,1,,0.67,,0.14,,,,0.36,0.31,,,,0.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
21,20180021,M,254,NA,IP (X),SCHOOL X,1,,0.55,,0.87,,,0.94,0.8,,,,,0.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
22,20180022,M,261,NA,IP (X),SCHOOL X,1,,0.73,,0.86,,,,0.74,0.72,,,,0.63,,,,,,,,,,,,,,,,,,,,,,,0.26,,,,,,1
23,20180023,F,245,NA,DSA (CCA),SINGAPORE CHINESE GIRLS' SCHOOL,1,,0.29,,0.38,,,,0.49,0.81,,,,0.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
24,20180024,M,256,NA,IP (X),SCHOOL X,1,,0.96,,0.89,,,,0.96,0.88,,,,0.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
25,20180025,F,242,NA,IP (Y),SCHOOL Y,1,,0,,0.49,,,0.05,0.16,,,,,0.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
26,20180026,F,251,NA,JAE Ordinary Admission,METHODIST GIRLS' SCHOOL (SECONDARY),1,,0.16,,0.48,,,,0.56,0.86,,,,0.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
27,20180027,F,254,NA,IP (Y),SCHOOL Y,1,,0.29,,,,,,,,0.5,,,0.1,,0.33,,,,,,,,,,,,,0.56,,,,,,,,,,,,,,2
