NEWID,GENDER,INTAKE,STREAM,SEC SCHOOL,RELIGION,CITIZENSHIP,REPEAT,MSG,L1R5,EL1,HMTL,MTL2,BT,DT,EM,AM,PHY,CHM,BIO,PC,PE,COM,PA,CH,HA,HMU,LEL,LCL,HSY,GEO,ART,MU,FN,AL,MSP,HH,HG,HL,IH,HZ,HP,IHC,IHE,FR,GM,JP,EM2,AM2,PO2,CO2,BO2,EO2,IH2,CLO,SP
20180001,M,IP (X),Science,SCHOOL X,NO RELIGION,SINGAPORE CITIZEN,,2.13,6,B4,A2,,,,A1,A1,A1,A1,,,,,,,,,,,,B3,,,,,,,,,,,,A2,,,,,,,,,,,,,
20180002,F,JAE Ordinary Admission,Science,METHODIST GIRLS' SCHOOL (SECONDARY),NO RELIGION,SINGAPORE CITIZEN,,0,6,A1,B3,A1,,,A1,A1,A1,A1,A1,,,,,,,A2,,,,,,,,,,,A1,,,,,,,,,,,,,,,,,,
20180003,F,IP (Y),Science,SCHOOL Y,NO RELIGION,SINGAPORE CITIZEN,,2,6,A2,B3,,,,A1,A1,B3,A2,,,,,,,,,A2,,,,,,,,,,,,B3,,,,,,,,,,,,,,,,
20180004,F,JAE Ordinary Admission,Arts,TANJONG KATONG GIRLS' SCHOOL,NO RELIGION,SINGAPORE CITIZEN,,0,7,A1,,A1,,,A2,B3,,A2,A1,,,,,,,,,,,A1,,,,,A2,,,A1,,,,,,,,,,,,,,,,,
20180005,M,JAE Ordinary Admission,Science,MARIS STELLA HIGH SCHOOL,NO RELIGION,SINGAPORE CITIZEN,,0,8,B3,B3,A1,,,A1,A1,A1,A1,A2,,,,,,,,,,,,,,,,,,A1,,,,,,,,,,,,,,,,,,
20180006,M,JAE Ordinary Admission,Science,CATHOLIC HIGH SCHOOL,CHRISTIAN,SINGAPORE CITIZEN,,0,7,A1,,B3,,,A1,A1,A2,A2,A2,,,,,,,,A1,,,,,,,,,A1,,,,,,,,,,,,,,,,,,,
20180007,M,IP (X),Science,SCHOOL X,CHRISTIAN,SINGAPORE CITIZEN,,1.75,6,A2,A2,,,,A1,A1,B3,A1,,,,,,,,,,,,A2,,,,,,,,,,,,A2,,,,,,,,,,,,,
20180008,M,IP (X),Science,SCHOOL X,NO RELIGION,SINGAPORE CITIZEN,,2.44,6,A2,B3,,,,A1,C5,A2,A2,A2,,,,,,,,,,A1,,,,,,,,,,,,,A2,,,,,,,,,,,,,
20180009,F,IP (Y),Science,SCHOOL Y,ROMAN CATHOLICISM,SINGAPORE CITIZEN,,1.72,6,A1,A1,,,,A1,A1,,B3,A2,,,,,,,,,,,A1,,,,,,,,,B3,,,,,,,,,,,,,,,,
20180010,F,IP (Y),Science,SCHOOL Y,BUDDHIST,SINGAPORE CITIZEN,,2.06,6,A2,A2,,,,A1,A1,B3,B3,A2,,,,,,,,,,,,,,,,,,,,A1,,,,,,,,,,,,,,,,
20180011,F,IP (Y),Science,SCHOOL Y,NO RELIGION,SINGAPORE CITIZEN,,1.17,6,A1,B3,,,,A1,A1,A1,A1,A1,,,,,,,,,,,,,,,,,,,,A1,,,,,,,,,,,,,,,,
20180012,F,JAE Ordinary Admission,Science,CHIJ ST. NICHOLAS GIRLS' SCHOOL,BUDDHIST,SINGAPORE PR (MALAYSIAN),,0,8,B3,A2,A1,,,A1,A1,A1,A1,A2,,,,,,,,,,A2,,,,,,,,,B3,,,,,,,,,,,,,,,,,
20180013,F,IP (Y),Science,SCHOOL Y,NO RELIGION,SINGAPORE CITIZEN,,1.3,6,A2,A1,,,,A1,A1,A1,A1,A1,,,,,,,,,,,,,,,,,,,,A1,,,,,,A1,,,,,,,,,,
20180014,F,JAE Ordinary Admission,Science,CRESCENT GIRLS' SCHOOL,NO RELIGION,SINGAPORE CITIZEN,,0,8,A2,A1,A1,,,A1,A1,,B3,A2,,,,,,,,,,,A1,,,,,,,,A2,,,,,,,,,,,,,,,,,
20180015,M,DSA,Science,BUKIT PANJANG GOVT. HIGH SCHOOL,ROMAN CATHOLICISM,INDONESIAN,,,7,A2,,A2,,,A1,A1,A1,A1,A1,,,,,,,,,,,A1,,,,,,,,A1,,,,,,,,,,,,,,,,,
20180016,F,IP (Y),Science,SCHOOL Y,ROMAN CATHOLICISM,SINGAPORE CITIZEN,,1.67,6,A1,B3,,,,A1,A1,B3,A2,A1,,,,,,,,,,,,,,,,,,,,A1,,,,,,,,,,,,,,,,
20180017,F,IP (Y),Science,SCHOOL Y,NO RELIGION,SINGAPORE CITIZEN,,1.33,6,A1,A1,,,,A1,A1,A1,A1,,,,,,,,,,,,A1,,,,,,,,,A1,,,,,,,,,,,,,,,,
20180018,F,IP (Y),Science,SCHOOL Y,CHRISTIAN,SINGAPORE CITIZEN,,2.35,6,B3,C6,,,,A1,A1,B3,A1,A2,,,,,,,,,,,,A1,,,,,,,,B4,,,,,,,,,,,,,,,,
20180019,F,DSA,Science,CHIJ SECONDARY (TOA PAYOH),CHRISTIAN,SINGAPORE PR (MALAYSIAN),,,8,A1,,A1,,,A1,A2,A2,A2,,,,,,,A2,,,,,A1,,,,,,,,A1,,,,,,,,,,,,,,,,,
20180020,M,IP (X),Science,SCHOOL X,CHRISTIAN,SINGAPORE CITIZEN,,2.6,6,A2,B4,,,,A2,A2,C5,B4,B3,,,,,,A1,,,,A1,,,,,,,,,,,,,A2,,,,,,,,,,,,,
20180021,M,IP (X),Science,SCHOOL X,NO RELIGION,SINGAPORE CITIZEN,,1.75,6,B3,A2,,,,A1,A1,A1,A1,,,,,,,,,,,,A2,,,,,,,,,,,,A2,,,,,,,,,,,,,
20180022,M,IP (X),Science,SCHOOL X,ROMAN CATHOLICISM,SINGAPORE CITIZEN,,1.5,6,A2,A2,,,,A1,A1,B3,A1,A1,,,,,,,,,,,,,,,,,,,,,,,A2,,,,,,,,,,,,,
20180023,F,DSA (CCA),Science,SINGAPORE CHINESE GIRLS' SCHOOL,BUDDHIST,SINGAPORE CITIZEN,,,9,B3,C6,A1,,,A1,A1,A2,A2,A2,,,,,,,,,,,A1,,,,,,,,B3,,,,,,,,,,,,,,,,,
20180024,M,IP (X),Science,SCHOOL X,NO RELIGION,SINGAPORE CITIZEN,,1.56,6,B3,B4,,,,A1,A1,A1,A1,A2,,,,,,,,,,A1,,,,,,,,,,,,,A1,,,,,,,,,,,,,
20180025,F,IP (Y),Science,SCHOOL Y,NO RELIGION,SINGAPORE CITIZEN,,2.72,6,B4,A2,,,,A1,A1,B3,A2,A2,,,,,,,,,,,,,,,,,,,,A2,,,,,,,,,,,,,,,,
20180026,F,JAE Ordinary Admission,Science,METHODIST GIRLS' SCHOOL (SECONDARY),CHRISTIAN,SINGAPORE CITIZEN,,0,6,A1,B4,A1,,,A1,A1,A1,A2,A1,,,,,,,,,,,,,,,A2,,,A1,,,,,,,,,,,,,,,,,,
20180027,F,IP (Y),Arts,SCHOOL Y,CHRISTIAN,SINGAPORE CITIZEN,,3.38,6,B3,A2,,,,A1,D7,,C5,,,,,,,,,,,A2,,,,,,,,,,B3,,,,,,,,,A1,,,,,,,
20180028,M,JAE Ordinary Admission,Science,NAN HUA HIGH SCHOOL,NO RELIGION,SINGAPORE CITIZEN,,0,8,B3,A2,A1,,,A1,A1,A1,A1,A1,,,,,,,,,,,,,,,,,,A2,,,,,,,,,,,,,,,,,,
