NEWID,GENDER,PSLE,REPEAT,INTAKE,SEC SCHOOL,GP,KI,KI (A),MA2,FM2,CP2,PH2,CH2,BY2,EL2,EL2 (A),ELL2,EC2,EC2 (A),EH2,EH2 (A),EG2,EG2 (A),S1_2,S2_2,S3_2,S4_2,S5_2,FR2,GM2,SP2,MA1,PH1,CH1,EL1,EC1,EH1,EG1,JP1,PW,MTL,P/F,RANK,%,MSG/GPA,PTS,NO OF CCA
20190001,M,189,NA,DSA (CCA),CATHOLIC HIGH SCHOOL,E,,,D,,U,S,,,,,,,,,,,,,,,,,,,,,,,,U,,,,A,E,Passed,1078,3,5.9,22.5,1
20190002,M,256,NA,IP (X),SCHOOL X,A,,,A,,,,A,A,,,,A,,,,,,,,,,,,,,,,,,,,,,A,B,Passed,1,100,1,80,1
20190003,M,231,NA,IP (X),SCHOOL X,C,,,D,,,C,C,,,,,B,,,,,,,,,,,,,,,,,,,,,,A,A,Passed,569,48,3,61.25,1
20190004,M,255,NA,IP (X),SCHOOL X,C,,,C,,,E,S,,,,,U,,,,,,,,,,,,,,,,,,,,,,B,B,Passed,1007,9,5.3,37.5,1
20190005,M,0,NA,JAE Ordinary Admission,MARIS STELLA HIGH SCHOOL,D,,,D,,,C,E,,,,,D,,,,,,,,,,,,,,,,,,,,,,A,A,Passed,803,27,4,51.25,1
20190006,M,0,NA,JAE Ordinary Admission,MARIS STELLA HIGH SCHOOL,E,,,A,,,A,A,,,,,C,,,,,,,,,,,,,,,,,,,,,,B,B,Passed,229,79,1.5,72.5,1
20190007,M,255,NA,IP (X),SCHOOL X,D,,,S,,,,E,,,,,D,,E,,,,,,,,,,,,,,,,,,,,A,A,Passed,968,13,5,41.25,2
20190008,M,0,NA,JAE Ordinary Admission,MARIS STELLA HIGH SCHOOL,D,,,A,,,,A,B,,,,D,,,,,,,,,,,,,,,,,,,,,,A,A,Passed,297,73,2,70,1
20190009,F,261,NA,IP (Y),SCHOOL Y,C,,,B,,,,B,B,,,,C,,,,,,,,,,,,,,,,,,,,,,B,A,Passed,372,66,2.3,67.5,1
20190010,M,0,NA,JAE Ordinary Admission,NAN HUA HIGH SCHOOL,D,,,C,,,,B,,,,,B,,,,D,,,,,,,,,,,,,,,,,,A,A,Passed,539,51,2.8,62.5,1
20190011,F,260,NA,IP (Y),SCHOOL Y,D,,,C,,,A,B,,,,,C,,,,,,,,,,,,,,,,,,,,,,A,C,Passed,410,63,2.3,66.25,1
20190012,F,221,NA,DSA (CCA),SHUQUN SECONDARY SCHOOL,S,,,U,,,,U,U,,,,,,,,,,,,,,,,,,,,,,,,E,,A,B,Failed,1106,0,6.7,7.5,1
20190013,F,230,NA,Appeals (Academic),RIVERSIDE SECONDARY SCHOOL,C,,,B,,,,B,B,,,,B,,,,,,,,,,,,,,,,,,,,,,A,A,Passed,337,69,2,68.75,1
20190014,M,0,NA,JAE Ordinary Admission,SCHOOL X,D,,,E,,,C,E,,,,,D,,,,,,,,,,,,,,,,,,,,,,A,B,Passed,848,23,4.3,48.75,1
20190015,F,263,NA,IP (Y),SCHOOL Y,C,,,C,,,,B,A,B,,,,,,,,,,,,,,,,,,,,,,,,,A,A,Passed,297,73,2,70,1
20190016,F,259,NA,IP (Y),SCHOOL Y,D,,,A,,B,A,,,,,,C,,,,,,,,,,,,,,,,,,,,,,A,A,Passed,260,76,1.8,71.25,2
20190017,M,266,NA,IP (X),SCHOOL X,B,,,C,,,,,,,C,,,C,,,,,,,,,,,A,,,,,,,,,,A,A,Passed,410,63,2.5,66.25,1
20190018,F,0,NA,JAE Ordinary Admission,BUKIT PANJANG GOVT. HIGH SCHOOL,E,,,E,,,,B,B,,,,C,,,,,,,,,,,,,,,,,,,,,,A,B,Passed,602,45,3,60,1
20190019,F,253,NA,IP (Y),SCHOOL Y,C,,,C,,,C,B,,,,,D,,,,,,,,,,,,,,,,,,,,,,A,B,Passed,569,48,3,61.25,1
20190020,M,240,NA,DSA (CCA),ANGLO-CHINESE SCHOOL (BARKER ROAD),E,,,S,,,D,S,,,,,,,,,,,,,,,,,,,,,,,E,,,,A,C,Passed,1041,6,5.3,32.5,1
20190021,M,0,NA,JAE Ordinary Admission,NAN HUA HIGH SCHOOL,C,,,D,,C,,C,,,,,D,,,,,,,,,,,,,,,,,,,,,,A,B,Passed,702,36,3.5,56.25,1
20190022,F,0,NA,JAE Ordinary Admission,BUKIT PANJANG GOVT. HIGH SCHOOL,E,,,B,,,B,B,,,,,B,,,,,,,,,,,,,,,,,,,,,,A,A,Passed,410,63,2,66.25,1
20190023,F,0,NA,JAE Ordinary Admission,CHUNG CHENG HIGH SCHOOL (MAIN),D,,,E,,,,B,B,,,,B,,,,,,,,,,,,,,,,,,,,,,A,A,Passed,493,55,2.8,63.75,1
20190024,F,0,NA,JAE Ordinary Admission,BUKIT PANJANG GOVT. HIGH SCHOOL,D,,,D,,,B,C,,,,,C,,,,,,,,,,,,,,,,,,,,,,B,A,Passed,602,45,3,60,1
20190025,F,263,NA,IP (Y),SCHOOL Y,B,,,D,,,,,,C,,B,B,,,,,,,,,,,,,,,,,,,,,,A,A,Passed,455,59,2.8,65,1
20190026,M,262,NA,IP (X),SCHOOL X,C,,,C,,,MC,B,,,,,B,,,,,,,,,,,,,,,,,,,,,,B,A,Passed,674,39,2.3,57.5,1
20190027,F,0,NA,DSA,PAYA LEBAR METHODIST GIRLS' SCHOOL (SECONDARY),D,,,B,C,,B,,,,,,D,,,,,,,,,,,,,,,,,,,,,,A,A,Passed,539,51,2.8,62.5,1
20190028,F,0,NA,JAE Ordinary Admission,CHIJ ST. NICHOLAS GIRLS' SCHOOL,B,,,A,,,,A,A,,,,B,,,,,,,,,,,,,,,,,,,,,,A,C,Passed,46,95,1.3,77.5,1
20190029,F,252,NA,IP (Y),SCHOOL Y,,,A,D,,,,,,,A,,,,,,,B,,,,,,,,,,,,,,,,,A,C,Passed,297,73,2,70,1
20190030,F,236,NA,IP (Y),SCHOOL Y,E,,,S,,,,E,,,,,E,,,,,,,,,,,,,,,,,,,,C,,A,A,Passed,1007,9,5,37.5,1
20190031,F,0,NA,JAE Ordinary Admission,CRESCENT GIRLS' SCHOOL,D,,,U,,,E,U,,,,,C,,,,,,,,,,,,,,,,,,,,,,B,A,Passed,1053,5,5.5,31.25,2
20190032,F,0,NA,IP (Y),SCHOOL Y,D,,,D,,,,C,,,,,A,,,,,,,,,B,,,,,,,,,,,,,A,A,Passed,455,59,2.5,65,2
20190033,M,254,NA,IP (X),SCHOOL X,E,,,B,,A,A,,,,,,,,,,,,,,,,,,,,,,,,D,,,,B,E,Passed,337,69,1.7,68.75,1
20190034,F,0,NA,JAE Ordinary Admission,CHIJ ST. NICHOLAS GIRLS' SCHOOL,D,,,U,,,,,,C,,E,E,,,,,,,,,,,,,,,,,,,,,,A,D,Passed,968,13,5,41.25,1
20190035,F,260,NA,IP (Y),SCHOOL Y,C,,,D,,,,A,A,,,,,,,,A,,,,,,,,,,,,,,,,,,A,A,Passed,183,83,1.8,73.75,2
20190036,F,252,NA,IP (Y),SCHOOL Y,D,,,U,,,,C,,,,,,,D,,,,,,,,,,,,,,,,C,,,,A,B,Passed,968,13,4.4,41.25,1
20190037,F,243,NA,IP (Y),SCHOOL Y,E,,,C,E,,C,,,,,,U,,,,,,,,,,,,,,,,,,,,,,A,A,Passed,915,17,4.5,45,2
20190038,F,259,NA,IP (Y),SCHOOL Y,B,,,B,,,B,A,,,,,C,,,,,,,,,,,,,,,,,,,,,,A,A,Passed,260,76,2,71.25,1
20190039,F,235,NA,DSA (CCA),CHIJ SECONDARY (TOA PAYOH),S,,,D,,,D,E,,,,,E,,,,,,,,,,,,,,,,,,,,,,A,D,Passed,948,14,4.5,42.5,1
20190040,F,229,NA,IP (Y),SCHOOL Y,E,,,D,,,,E,D,,,,,,,,,,,,,,,,,,,,,,D,,,,A,B,Passed,900,19,4.3,46.25,1
20190041,F,0,NA,JAE Ordinary Admission,ANDERSON SECONDARY SCHOOL,E,,,C,,,,B,A,,,,C,,,,,,,,,,,,,,,,,,,,,,A,A,Passed,455,59,2.3,65,1
20190042,M,250,NA,IP (X),SCHOOL X,A,,,A,,A,A,,,,,,A,,,,,,,,,,,,,,,,,,,,,,A,B,Passed,1,100,1,80,2
20190043,F,267,NA,IP (Y),SCHOOL Y,E,,,C,,,E,A,,,,,U,,,,,,,,,,,,,,,,,,,,,,A,A,Passed,829,25,4,50,1
20190044,F,266,NA,IP (Y),SCHOOL Y,C,,,A,,,,A,A,B,,,,,,,,,,,,,,,,,,,,,,,,,B,A,Passed,104,90,1.3,76.25,1
20190045,F,0,NA,JAE Ordinary Admission,BUKIT PANJANG GOVT. HIGH SCHOOL,B,,,B,,,B,A,,,,,C,,,,,,,,,,,,,,,,,,,,,,A,B,Passed,260,76,2,71.25,1
