SN,NEWID,GENDER,PSLE,REPEAT,INTAKE,SEC SCHOOL,KI,GP,KI (A),MA2,FM2,CP2,PH2,CH2,BY2,EL2,EL2 (A),ELL2,EC2,EC2 (A),EH2,EH2 (A),EG2,EG2 (A),S1_2,S2_2,S3_2,S4_2,S5_2,FR2,GM2,SP2,MA1,PH1,CH1,EL1,EC1,EH1,EG1,JP1,NO OF CCA
1,20190001,M,189,NA,DSA (CCA),CATHOLIC HIGH SCHOOL,,44.5,,46.7,,20.6,40.5,,,,,,,,,,,,,,,,,,,,,,,,37.3,,,,1
2,20190002,M,256,NA,IP (X),SCHOOL X,,68.3,,70.7,,,,95,89.9,,,,74.4,,,,,,,,,,,,,,,,,,,,,,1
3,20190003,M,231,NA,IP (X),SCHOOL X,,58.6,,49.5,,,57.8,56.3,,,,,62.2,,,,,,,,,,,,,,,,,,,,,,1
4,20190004,M,255,NA,IP (X),SCHOOL X,,57.4,,52.8,,,48.4,40.2,,,,,39.4,,,,,,,,,,,,,,,,,,,,,,1
5,20190005,M,0,NA,JAE Ordinary Admission,MARIS STELLA HIGH SCHOOL,,52.8,,48.8,,,56.5,47.6,,,,,49.6,,,,,,,,,,,,,,,,,,,,,,1
6,20190006,M,0,NA,JAE Ordinary Admission,MARIS STELLA HIGH SCHOOL,,48.7,,75.4,,,72,73.9,,,,,58,,,,,,,,,,,,,,,,,,,,,,1
7,20190007,M,255,NA,IP (X),SCHOOL X,,51.5,,36.7,,,,48.3,,,,,53.4,,45.2,,,,,,,,,,,,,,,,,,,,2
8,20190008,M,0,NA,JAE Ordinary Admission,MARIS STELLA HIGH SCHOOL,,49.7,,70,,,,76.4,64.5,,,,50.9,,,,,,,,,,,,,,,,,,,,,,1
9,20190009,F,261,NA,IP (Y),SCHOOL Y,,58,,56.3,,,,66.5,62.2,,,,58.1,,,,,,,,,,,,,,,,,,,,,,1
10,20190010,M,0,NA,JAE Ordinary Admission,NAN HUA HIGH SCHOOL,,52.5,,53.9,,,,65.7,,,,,65.1,,,,53.3,,,,,,,,,,,,,,,,,,1
11,20190011,F,260,NA,IP (Y),SCHOOL Y,,54.4,,54.8,,,71.8,68.9,,,,,56.6,,,,,,,,,,,,,,,,,,,,,,1
12,20190012,F,221,NA,DSA (CCA),SHUQUN SECONDARY SCHOOL,,42.3,,25.6,,,,36.2,36.8,,,,,,,,,,,,,,,,,,,,,,,,44.9,,1
13,20190013,F,230,NA,Appeals (Academic),RIVERSIDE SECONDARY SCHOOL,,55.6,,63.7,,,,68.1,66.9,,,,61.8,,,,,,,,,,,,,,,,,,,,,,1
14,20190014,M,0,NA,JAE Ordinary Admission,SCHOOL X,,53.2,,43.2,,,56.9,48.7,,,,,51.5,,,,,,,,,,,,,,,,,,,,,,1
15,20190015,F,263,NA,IP (Y),SCHOOL Y,,55.9,,53.9,,,,64.6,71.7,62.9,,,,,,,,,,,,,,,,,,,,,,,,,1
16,20190016,F,259,NA,IP (Y),SCHOOL Y,,51.8,,78.6,,66.6,70.6,,,,,,56.6,,,,,,,,,,,,,,,,,,,,,,2
17,20190017,M,266,NA,IP (X),SCHOOL X,,64.6,,52.3,,,,,,,57,,,56.2,,,,,,,,,,,70.7,,,,,,,,,,1
