SN,NEWID,GENDER,PSLE,REPEAT,INTAKE,SEC SCHOOL,KI,GP,KI (A),MA2,FM2,CP2,PH2,CH2,BY2,EL2,EL2 (A),ELL2,EC2,EC2 (A),EH2,EH2 (A),EG2,EG2 (A),S1_2,S2_2,S3_2,S4_2,S5_2,FR2,GM2,SP2,MA1,PH1,CH1,EL1,EC1,EH1,EG1,JP1,NO OF CCA
1,20190001,M,189,NA,DSA (CCA),CATHOLIC HIGH SCHOOL,,0.03,,0.33,,0.01,0.04,,,,,,,,,,,,,,,,,,,,,,,,0.07,,,,1
2,20190002,M,256,NA,IP (X),SCHOOL X,,0.98,,0.83,,,,0.99,1,,,,0.97,,,,,,,,,,,,,,,,,,,,,,1
3,20190003,M,231,NA,IP (X),SCHOOL X,,0.72,,0.4,,,0.4,0.33,,,,,0.76,,,,,,,,,,,,,,,,,,,,,,1
4,20190004,M,255,NA,IP (X),SCHOOL X,,0.67,,0.49,,,0.15,0.05,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,1
5,20190005,M,0,NA,JAE Ordinary Admission,MARIS STELLA HIGH SCHOOL,,0.37,,0.39,,,0.37,0.14,,,,,0.22,,,,,,,,,,,,,,,,,,,,,,1
6,20190006,M,0,NA,JAE Ordinary Admission,MARIS STELLA HIGH SCHOOL,,0.14,,0.89,,,0.81,0.77,,,,,0.59,,,,,,,,,,,,,,,,,,,,,,1
7,20190007,M,255,NA,IP (X),SCHOOL X,,0.29,,0.12,,,,0.15,,,,,0.38,,0.04,,,,,,,,,,,,,,,,,,,,2
8,20190008,M,0,NA,JAE Ordinary Admission,MARIS STELLA HIGH SCHOOL,,0.18,,0.82,,,,0.81,0.56,,,,0.28,,,,,,,,,,,,,,,,,,,,,,1
9,20190009,F,261,NA,IP (Y),SCHOOL Y,,0.69,,0.57,,,,0.6,0.45,,,,0.59,,,,,,,,,,,,,,,,,,,,,,1
10,20190010,M,0,NA,JAE Ordinary Admission,NAN HUA HIGH SCHOOL,,0.35,,0.51,,,,0.58,,,,,0.84,,,,0.29,,,,,,,,,,,,,,,,,,1
11,20190011,F,260,NA,IP (Y),SCHOOL Y,,0.47,,0.54,,,0.79,0.65,,,,,0.53,,,,,,,,,,,,,,,,,,,,,,1
12,20190012,F,221,NA,DSA (CCA),SHUQUN SECONDARY SCHOOL,,0.01,,0.01,,,,0.02,0,,,,,,,,,,,,,,,,,,,,,,,,0.5,,1
13,20190013,F,230,NA,Appeals (Academic),RIVERSIDE SECONDARY SCHOOL,,0.56,,0.73,,,,0.63,0.65,,,,0.75,,,,,,,,,,,,,,,,,,,,,,1
14,20190014,M,0,NA,JAE Ordinary Admission,SCHOOL X,,0.4,,0.26,,,0.38,0.16,,,,,0.3,,,,,,,,,,,,,,,,,,,,,,1
