NEWID,GENDER,PSLE,REPEAT,INTAKE,SEC SCHOOL,PW,KI,GP,KI (A),MA2,FM2,CP2,PH2,CH2,BY2,EL2,EL2 (A),ELL2,EC2,EC2 (A),EH2,EH2 (A),EG2,EG2 (A),S1_2,S2_2,S3_2,S4_2,S5_2,FR2,GM2,SP2,MA1,PH1,CH1,EL1,EC1,EH1,EG1,MA3-MOE,PH3-MOE,CH3-MOE,BY3-MOE,EC3-MOE,S1_3-MOE,S2_3-MOE,PW,MTL,P/F,RANK,%,MSG/GPA,PTS,NO OF CCA
20190001,M,189,NA,DSA (CCA),CATHOLIC HIGH SCHOOL,A,,S,,S,,E,C,,,,,,,,,,,,,,,,,,,,,,,,E,,,,,,,,,,A,E,Passed,1021,7,4.3,47.5,1
20190002,M,256,NA,IP (X),SCHOOL X,A,,A,,A,,,,A,A,,,,B,,,,,,,,,,,,,,,,,,,,,,,,DI,,,,A,B,Passed,43,96,1.2,88.75,1
20190003,M,231,NA,IP (X),SCHOOL X,A,,B,,B,,,A,B,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,A,Passed,364,67,1.9,81.25,1
20190004,M,255,NA,IP (X),SCHOOL X,B,,C,,E,,,C,D,,,,,E,,,,,,,,,,,,,,,,,,,,,,,,,,,,B,B,Passed,929,15,4,58.75,1
20190005,M,0,NA,JAE Ordinary Admission,MARIS STELLA HIGH SCHOOL,A,,C,,U,,,C,S,,,,,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,A,Passed,1006,8,4.6,50,1
20190006,M,0,NA,JAE Ordinary Admission,MARIS STELLA HIGH SCHOOL,B,,B,,A,,,A,A,,,,,B,,,,,,,,,,,,,,,,,,,,,,PA,,,,,,B,B,Passed,179,83,1.3,86.25,1
20190007,M,255,NA,IP (X),SCHOOL X,A,,D,,C,,,,S,,,,,C,,B,,,,,,,,,,,,,,,,,,,,,,,,,,A,A,Passed,822,25,3.2,66.25,2
20190008,M,0,NA,JAE Ordinary Admission,MARIS STELLA HIGH SCHOOL,A,,C,,A,,,,B,A,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,A,Passed,310,72,1.7,82.5,1
20190009,F,261,NA,IP (Y),SCHOOL Y,B,,B,,C,,,,B,B,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,B,A,Passed,527,52,2.2,77.5,1
20190010,M,0,NA,JAE Ordinary Admission,NAN HUA HIGH SCHOOL,A,,B,,B,,,,B,,,,,B,,,,A,,,,,,,,,,,,,,,,,,,,,,,,A,A,Passed,310,72,1.7,82.5,1
