NEWID,GENDER,INTAKE,STREAM,SEC SCHOOL,RELIGION,CITIZENSHIP,REPEAT,MSG,L1R5,EL1,HMTL,MTL2,B2,DSS,BT,FE,EM,AM,PHY,CHM,BIO,PC,PB,CB,SSL,PE,COM,EC,PA,CH,SLC,SSH,SSG,HA,HMU,LEL,LCL,HSY,GEO,ART,MU,AL,CLB,IN,MSP,HH,HG,HL,IH,IHC,FR,GM,JP,EM2,AM2,PO2,CO2,BO2,EO2,GO2,IH2,LA2,SP
20190001,M,DSA (CCA),Science,CATHOLIC HIGH SCHOOL,CHRISTIAN,SINGAPORE CITIZEN,,,16,C5,,C6,,,,,A1,A1,B3,B4,,,,,,,,,,,,,,,,,,,A2,,,,,,,,,,,,,,,,,,,,,,,,
20190002,M,IP (X),Science,SCHOOL X,ISLAM,SINGAPORE CITIZEN,,1.67,6,A1,B3,,,,,,A1,A1,A1,A1,,,,,,,,,,,,,,,,B3,,A1,A1,,,,,,,,,,,,,,,,,,,,,,,,
20190003,M,IP (X),Science,SCHOOL X,CHRISTIAN,SINGAPORE CITIZEN,,2.33,6,B3,C6,,,,,,A1,A1,A2,A1,,,,,,,,,,,,,,,,B3,,A2,B3,,,,,,,,,,,,,,,,,,,,,,,,
20190004,M,IP (X),Science,SCHOOL X,BUDDHIST,SINGAPORE CITIZEN,,2.75,6,B3,B3,,,,,,A1,A2,A2,B3,,,,,,,,,,,,,,,,,,,B3,,,,,,,,,,,,,,,,,,,,,,,,
20190005,M,JAE Ordinary Admission,Science,MARIS STELLA HIGH SCHOOL,NO RELIGION,SINGAPORE CITIZEN,,0,7,A1,A2,A1,,,,,A2,A1,A2,A2,A1,,,,,,,,,,,,A1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20190006,M,JAE Ordinary Admission,Science,MARIS STELLA HIGH SCHOOL,BUDDHIST,SINGAPORE CITIZEN,,0,6,A1,B3,A1,,,,,A1,A1,A1,A1,A1,,,,,,,,,,,,A1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20190007,M,IP (X),Science,SCHOOL X,NO RELIGION,SINGAPORE CITIZEN,,2.6,6,B3,A2,,,,,,A1,A1,C5,A2,,,,,,,,,,,,,,,,B4,,B3,B4,,,,,,,,,,,,,,,,,,,,,,,,
20190008,M,JAE Ordinary Admission,Science,MARIS STELLA HIGH SCHOOL,BUDDHIST,SINGAPORE CITIZEN,,0,7,B4,A2,A1,,,,,A1,A1,A1,A1,A1,,,,,,,,,,,,A1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20190009,F,IP (Y),Science,SCHOOL Y,CHRISTIAN,SINGAPORE CITIZEN,,1.5,6,A2,A1,,,,,,A1,A1,,A1,A2,,,,,,,,,,,,,,,,,,A2,,,,,,,,,,A2,,,,,,,,,,,,,,
20190010,M,JAE Ordinary Admission,Science,NAN HUA HIGH SCHOOL,NO RELIGION,SINGAPORE CITIZEN,,0,7,B3,A2,A1,,,,,A1,A1,,A1,A2,,,,,,,,,,,A1,,,,,,,A1,,,,,,,,,,,,,,,,,,,,,,,,
20190011,F,IP (Y),Science,SCHOOL Y,NO RELIGION,SINGAPORE CITIZEN,,2.33,6,B3,B4,,,,,,A1,A1,B3,A2,B4,,,,,,,,,,,,,,,,,,,,,,,,,,,,A1,,,,,,,,,,,,,,
20190012,F,DSA (CCA),Science,SHUQUN SECONDARY SCHOOL,ISLAM,SINGAPORE CITIZEN,,,20,C5,B3,B3,,,,,B3,C5,,B3,,,B3,,,,,,,,,,B3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20190013,F,Appeals (Academic),Science,RIVERSIDE SECONDARY SCHOOL,CHRISTIAN,SINGAPORE CITIZEN,,,7,A2,,A1,,,,,A1,A1,A2,A1,A2,,,,,,,,,,,,,,,,,,,,,,,,,,A1,,,,,,,,,,,,,,,,
20190014,M,JAE Ordinary Admission,Science,SCHOOL X,NO RELIGION,SINGAPORE CITIZEN,,0,8,A2,B3,A2,,,,,A1,A1,A1,A2,,,,,,,,,,,,A2,,,,,,,A1,,,,,,,,,,,,,,,,,,,,,,,,
20190015,F,IP (Y),Science,SCHOOL Y,ROMAN CATHOLICISM,SINGAPORE CITIZEN,,1.67,6,A1,A2,,,,,,A1,A1,,A1,B4,,,,,,,,,,,,,,,A1,,,,,,,,,,,,,B4,,,,,,,,,,,,,,
20190016,F,IP (Y),Science,SCHOOL Y,NO RELIGION,SINGAPORE CITIZEN,,1.5,6,A2,A2,,,,,,A1,A1,A1,A1,A1,,,,,,,,,,,,,,,,,,,,,,,,,,,,A1,,,,,,,,,,,,,,
20190017,M,IP (X),Arts,SCHOOL X,NO RELIGION,SINGAPORE CITIZEN,,1.44,6,A1,A2,,,,,,A2,A1,A2,A2,,,,,,,,,,,,,,,,A1,,,,,,,,,,,,,,,,A1,,,,,,,,,,,
20190018,F,JAE Ordinary Admission,Science,BUKIT PANJANG GOVT. HIGH SCHOOL,NO RELIGION,SINGAPORE CITIZEN,,0,7,A1,,A1,,,,,A1,A1,,A2,A1,,,,,,,,,,,B3,,,,,,,A2,,,,,,,,,,,,,,,,,,,,,,,,
20190019,F,IP (Y),Science,SCHOOL Y,NO RELIGION,SINGAPORE CITIZEN,,2.88,6,B3,B3,,,,,,A2,C6,A2,A1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B3,,,,,,,,,,,,,,
20190020,M,DSA (CCA),Science,ANGLO-CHINESE SCHOOL (BARKER ROAD),NO RELIGION,SINGAPORE CITIZEN,,,13,B3,,B3,,,,,A1,A1,A2,B3,,,,,,,,,,,,B3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20190021,M,JAE Ordinary Admission,Science,NAN HUA HIGH SCHOOL,NO RELIGION,SINGAPORE CITIZEN,,0,8,A1,B3,B3,,,,,A1,A2,A2,A2,A1,,,,,,,,,,,A1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20190022,F,JAE Ordinary Admission,Science,BUKIT PANJANG GOVT. HIGH SCHOOL,BUDDHIST,SINGAPORE CITIZEN,,0,7,A2,A2,A1,,,,,A1,A1,A1,A1,,,,,,,,,,,,A1,,,,,,,A1,,,,,,,,,,,,,,,,,,,,,,,,
20190023,F,JAE Ordinary Admission,Science,CHUNG CHENG HIGH SCHOOL (MAIN),NO RELIGION,SINGAPORE CITIZEN,,0,8,A2,A2,A1,,,,,A2,A2,B3,A1,A1,,,,,,,,,,,,A1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20190024,F,JAE Ordinary Admission,Science,BUKIT PANJANG GOVT. HIGH SCHOOL,NO RELIGION,SINGAPORE CITIZEN,,0,8,B3,A2,A1,,,,,A1,A1,A1,A1,,,,,,,,,,,,B3,,,,,,,A2,,,,,,,,,,,,,,,,,,,,,,,,
20190025,F,IP (Y),Arts,SCHOOL Y,NO RELIGION,SINGAPORE CITIZEN,,2,6,A2,A2,,,,,,A1,A1,,A2,B3,,,,,,,,,,,,,,,B3,,,,,,,,,,,,,A2,,,,,,,,,,,,,,
20190026,M,IP (X),Science,SCHOOL X,NO RELIGION,SINGAPORE CITIZEN,,1.38,6,A2,C6,,,,,,A1,A1,A1,A1,,,,,,,,,,,,,,,,,,,A1,,,,,,,,,,,,,,,,,,,,,,,,B3
20190027,F,DSA,Science,PAYA LEBAR METHODIST GIRLS' SCHOOL (SECONDARY),CHRISTIAN,SINGAPORE PR (INDONESIAN),,,9,A1,,B3,,,,,A1,A1,A2,A2,A2,,,,,,,,,,,,A2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20190028,F,JAE Ordinary Admission,Science,CHIJ ST. NICHOLAS GIRLS' SCHOOL,ROMAN CATHOLICISM,SINGAPORE CITIZEN,,0,6,A1,,B3,,,,,A1,A1,,A1,A1,,,,A1,,,,,,,,,,,,,,A1,,,,,,,,,,,,,,,,,,,,,,,,
20190029,F,IP (Y),Arts,SCHOOL Y,NO RELIGION,SINGAPORE CITIZEN,,2.06,6,A1,B4,,,,,,A2,A2,A2,B3,,,,,,,,,,,,,,,,A1,,,A1,,,,,,,,,,,,,,,,,,,,,,,,
20190030,F,IP (Y),Science,SCHOOL Y,BUDDHIST,SINGAPORE CITIZEN,,3.5,6,B3,C5,,,,,,B4,A2,,B4,,,,,,,,,,,,,,,,,,,B4,,,,,,,,,,A2,,,,,A2,,,C5,,,D7,,,
20190031,F,JAE Ordinary Admission,Science,CRESCENT GIRLS' SCHOOL,NO RELIGION,SINGAPORE CITIZEN,,0,8,A2,A2,A1,,,,,A1,A1,A2,A2,,,,,,,,,,,,,A1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20190032,F,IP (Y),Science,SCHOOL Y,NO RELIGION,SINGAPORE CITIZEN,,1.67,6,B3,A1,,,,,,A2,A1,A1,A2,,,,,,,,,,,,,,,,,A1,,,,,,,,,,,,A2,,,,,,,,,,,,,,
20190033,M,IP (X),Science,SCHOOL X,NO RELIGION,SINGAPORE CITIZEN,,3.71,6,B4,C6,,,,,,A1,C5,A1,B4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A1,,A1,,,,,,
20190034,F,JAE Ordinary Admission,Arts,CHIJ ST. NICHOLAS GIRLS' SCHOOL,HINDUISM,SINGAPORE CITIZEN,,0,9,A1,C5,A2,,,,,A1,A2,,B3,A2,,,,,,,,,,,,A2,,,A1,,,,,,,,,,,,,,,,,,,,,,,,,,,
20190035,F,IP (Y),Science,SCHOOL Y,NO RELIGION,SINGAPORE CITIZEN,,1.6,6,A1,A2,,,,,,A1,A2,,A2,A2,,,,,,,,,,,,,,,A1,,,A1,,,,,,,,,,,,A2,,,,,,,,,,,,
20190036,F,IP (Y),Science,SCHOOL Y,NO RELIGION,SINGAPORE CITIZEN,,3.22,6,B4,B3,,,,,,C5,B3,,A1,C5,,,,,,,,,,,,,,,,,A1,,,,,,,,,,,A2,,,,,A2,,,,B3,,,,,
20190037,F,IP (Y),Science,SCHOOL Y,NO RELIGION,SINGAPORE CITIZEN,,2.72,6,B3,A2,,,,,,A1,A1,A2,B4,C5,,,,,,,,,,,,,,,,,,,,,,,,,,,,B4,,,,,,,,,,,,,,
20190038,F,IP (Y),Science,SCHOOL Y,CHRISTIAN,SINGAPORE CITIZEN,,1.5,6,A2,A2,,,,,,A1,A1,A1,A1,,,,,,,,,,,,,,,,,,,A1,,,,,,,,,,A1,,,,,,,,,,,,,,
20190039,F,DSA (CCA),Science,CHIJ SECONDARY (TOA PAYOH),CHRISTIAN,SINGAPORE CITIZEN,,,11,B3,,C5,,,,,A1,A1,A2,A2,B3,,,,A2,,,,,,,,,,,,,,A2,,,,,,,,,,,,,,,,,,,,,,,,
20190040,F,IP (Y),Science,SCHOOL Y,NO RELIGION,SINGAPORE CITIZEN,,3.25,6,B4,E8,,,,,,A1,A1,,B3,B4,,,,,,,,,,,,,,,,,,,,,,,,,,,,A2,,,,,,,,C6,A2,,,,,
20190041,F,JAE Ordinary Admission,Science,ANDERSON SECONDARY SCHOOL,BUDDHIST,SINGAPORE CITIZEN,,0,6,A1,A2,A1,,,,,A1,A1,A1,A1,A1,,,,,,,,,,,A1,,,,,,,A2,,,,,,,,,,,,,,,,,,,,,,,,
20190042,M,IP (X),Science,SCHOOL X,NO RELIGION,SINGAPORE CITIZEN,,1.3,6,A1,B3,,,,,,A1,A1,A1,A1,A1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20190043,F,IP (Y),Science,SCHOOL Y,NO RELIGION,SINGAPORE PR (CHINESE),,1.69,6,B3,A2,,,,,,A1,A1,A1,A1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A2,,,,,,,,,,,,,,
20190044,F,IP (Y),Science,SCHOOL Y,CHRISTIAN,SINGAPORE CITIZEN,,1.8,6,A2,A1,,,,,,A1,A1,A1,A1,B3,,,,,,,,,,,,,,,A1,,,,,,,,,,,,,B4,,,,,,,,,,,,,,
20190045,F,JAE Ordinary Admission,Science,BUKIT PANJANG GOVT. HIGH SCHOOL,ROMAN CATHOLICISM,SINGAPORE CITIZEN,,0,6,A1,B3,A1,,,,,A1,A1,A1,A1,A1,,,,,,,,,,,A1,,,,,,,A1,,,,,,,,,,,,,,,,,,,,,,,,
20190046,F,IP (Y),Science,SCHOOL Y,NO RELIGION,SINGAPORE CITIZEN,,2.67,6,B3,A2,,,,,,A1,A1,B3,A2,C5,,,,,,,,,,,,,,,,,,,,,,,,,,,,B3,,,,,,,,,,,,,,
20190047,M,IP (X),Science,SCHOOL X,BUDDHIST,SINGAPORE CITIZEN,,1.4,6,A2,A1,,,,,,A1,A1,A2,A1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20190048,M,JAE Ordinary Admission,Science,TANJONG KATONG SECONDARY SCHOOL,CHRISTIAN,SINGAPORE CITIZEN,,0,6,A1,,C5,,,,,A1,A1,A1,A1,A2,,,,,,,,,,,,A1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20190049,M,IP (X),Science,SCHOOL X,NO RELIGION,SINGAPORE CITIZEN,,2.63,6,A2,B3,,,,,,A1,B3,B3,B3,,,,,,,,,,,,,,,,,,,A2,,,,,,,,,,,,,,,,,,,,,,,,
20190050,M,IP (X),Science,SCHOOL X,NO RELIGION,SINGAPORE CITIZEN,,1.33,6,A2,A1,,,,,,A1,A1,A1,A1,A1,,,,,,,,,,,,,,,,,,A1,,,,,,,,,,,,,,,,,,,,,,,,
20190051,M,JAE Ordinary Admission,Science,COMMONWEALTH SECONDARY SCHOOL,NO RELIGION,SINGAPORE CITIZEN,,0,7,A2,,B3,,,,,A1,A1,A1,A2,,,,,,,,,,,,A1,,,,,,,A1,,,,,,,,,,,,,,,,,,,,,,,,
20190052,M,IP (X),Science,SCHOOL X,NO RELIGION,SINGAPORE CITIZEN,,1.11,6,A1,A2,,,,,,A1,A1,A1,A1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20190053,M,IP (X),Science,SCHOOL X,NO RELIGION,SINGAPORE CITIZEN,,1.78,6,B3,A2,,,,,,A1,A1,A1,A1,A1,,,,,,,,,,,,,,,,,,A2,,,,,,,,,,,,,,,,,,,,,,,,
20190054,M,IP (X),Science,SCHOOL X,BUDDHIST,SINGAPORE CITIZEN,,1.2,6,A2,A2,,,,,,A1,A1,A1,A1,A1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20190055,M,IP (X),Science,SCHOOL X,CHRISTIAN,SINGAPORE CITIZEN,,1.89,6,B3,B4,,,,,,A1,A1,A1,A1,B3,,,,,,,,,,,,,,,,,A2,,,,,,,,,,,,,,,,,,,,,,,,,
