NEWID,GENDER,PSLE,REPEAT,INTAKE,SEC SCHOOL,KI,GP,KI (A),MA2,FM2,CP2,PH2,CH2,BY2,EL2,EL2 (A),ELL2,EC2,EC2 (A),EH2,EH2 (A),EG2,EG2 (A),S1_2,S2_2,S3_2,S4_2,S5_2,FR2,GM2,JP2,SP2,MA1,PH1,CH1,EL1,EC1,EG1,S1_1,PW,MTL,P/F,RANK,%,MSG/GPA,PTS,NO OF CCA
20200001,F,0,NA,JAE Ordinary Admission,"SCHOOL OF SCIENCE AND TECHNOLOGY, SINGAPORE",,B,,B,,,B,A,,,,,B,,,,,,,,,,,,,,,,,,,,,,A,E,Passed,324,69,1.8,72.5,1
20200002,F,0,NA,IP (Y),SCHOOL Y,,C,,B,,,,D,B,B,,,,,,,,,,,,,,,,,,,,,,,,,A,A,Passed,580,45,2.5,66.25,1
20200003,F,0,NA,JAE Ordinary Admission,NAN CHIAU HIGH SCHOOL,,C,,B,,,,C,,,,,D,,S,,,,,,,,,,,,,,,,,,,,A,A,Passed,841,21,3.8,55,1
20200004,M,0,NA,IP (X),SCHOOL X,,D,,C,,,E,C,,,,,B,,,,,,,,,,,,,,,,,,,,,,A,B,Passed,772,27,3.3,58.75,2
20200005,F,0,NA,IP (Y),SCHOOL Y,,C,,S,,,,C,D,,,,,,,,D,,,,,,,,,,,,,,,,,,A,A,Passed,895,16,4.3,50,1
20200006,F,0,NA,IP (Y),SCHOOL Y,,C,,E,,,S,B,,,,,D,,,,,,,,,,,,,,,,,,,,,,A,A,Passed,895,16,4.3,50,1
20200007,F,0,NA,IP (Y),SCHOOL Y,,D,,C,,,,B,B,,,,D,,,,,,,,,,,,,,,,,,,,,,A,C,Passed,686,35,2.8,62.5,2
20200008,F,0,NA,IP (Y),SCHOOL Y,,D,,A,,,C,B,,,,,C,,,,,,,,,,,,,,,,,,,,,,A,A,Passed,580,45,2.3,66.25,1
20200009,M,0,NA,IP (X),SCHOOL X,,B,,A,,,A,A,,,,,A,,,,,,,,,,,,,,,,,,,,,,A,A,Passed,23,97,1,78.75,1
20200010,F,0,NA,JAE Ordinary Admission,CHIJ ST. NICHOLAS GIRLS' SCHOOL,,C,,U,,,,S,B,,,,D,,,,,,,,,,,,,,,,,,,,,,A,E,Passed,951,11,4.8,42.5,1
20200011,F,0,NA,JAE Ordinary Admission,CRESCENT GIRLS' SCHOOL,,C,,A,,,,A,B,,,,E,,,,,,,,,,,,,,,,,,,,,,A,A,Passed,445,58,2.3,70,1
20200012,M,246,NA,DSA (CCA),CATHOLIC HIGH SCHOOL,,D,,C,,,B,A,,,,,S,,,,,,,,,,,,,,,,,,,,,,B,D,Passed,716,33,3,61.25,1
20200013,M,0,NA,IP (X),SCHOOL X,,D,,B,,,,B,B,,,,C,,,,,,,,,,,,,,,,,,,,,,A,C,Passed,580,45,2.3,66.25,1
20200014,M,247,NA,DSA,BUKIT PANJANG GOVT. HIGH SCHOOL,,B,,A,,,MC,A,,,,,MC,,,,,,,,,,,,,,,,,,,,,,A,B,Passed,910,15,1,48.75,2
20200015,F,0,NA,JAE Ordinary Admission,BUKIT PANJANG GOVT. HIGH SCHOOL,,C,,B,,,,A,D,,,,E,,,,,,,,,,,,,,,,,,,,,,A,A,Passed,686,35,3,62.5,2
20200016,F,0,NA,IP (Y),SCHOOL Y,,C,,U,,,,,,D,,,B,,,,B,,,,,,,,,,,,,,,,,,A,B,Passed,841,21,3.8,55,1
20200017,F,0,NA,IP (Y),SCHOOL Y,,C,,D,,,,C,D,,,,D,,,,,,,,,,,,,,,,,,,,,,A,B,Passed,860,19,3.8,53.75,1
20200018,F,0,NA,IP (Y),SCHOOL Y,,C,,C,,,,A,A,,,,C,,,,,,,,,,,,,,,,,,,,,,B,A,Passed,445,58,2,70,2
