SN,NEWID,GENDER,PSLE,REPEAT,INTAKE,SEC SCHOOL,KI,GP,KI (A),MA2,FM2,CP2,PH2,CH2,BY2,EL2,EL2 (A),ELL2,EC2,EC2 (A),EH2,EH2 (A),EG2,EG2 (A),S1_2,S2_2,S3_2,S4_2,S5_2,FR2,GM2,JP2,SP2,MA1,PH1,CH1,EL1,EC1,EG1,S1_1,NO OF CCA
1,20200001,F,0,NA,JAE Ordinary Admission,"SCHOOL OF SCIENCE AND TECHNOLOGY, SINGAPORE",,60.9,,67.5,,,64.6,76.2,,,,,60.4,,,,,,,,,,,,,,,,,,,,,,1
2,20200002,F,0,NA,IP (Y),SCHOOL Y,,57.6,,61.1,,,,51.7,69.2,61,,,,,,,,,,,,,,,,,,,,,,,,,1
3,20200003,F,0,NA,JAE Ordinary Admission,NAN CHIAU HIGH SCHOOL,,56.9,,63.1,,,,56.1,,,,,52.5,,42.8,,,,,,,,,,,,,,,,,,,,1
4,20200004,M,0,NA,IP (X),SCHOOL X,,53.1,,59.2,,,46.8,59.4,,,,,61.1,,,,,,,,,,,,,,,,,,,,,,2
5,20200005,F,0,NA,IP (Y),SCHOOL Y,,55.4,,42.4,,,,56.7,49.9,,,,,,,,53.7,,,,,,,,,,,,,,,,,,1
6,20200006,F,0,NA,IP (Y),SCHOOL Y,,55.7,,44.6,,,39.8,63.8,,,,,53.2,,,,,,,,,,,,,,,,,,,,,,1
7,20200007,F,0,NA,IP (Y),SCHOOL Y,,54.2,,57.8,,,,59.9,60.5,,,,50.8,,,,,,,,,,,,,,,,,,,,,,2
8,20200008,F,0,NA,IP (Y),SCHOOL Y,,53.2,,80.8,,,55.8,68.6,,,,,57.5,,,,,,,,,,,,,,,,,,,,,,1
9,20200009,M,0,NA,IP (X),SCHOOL X,,67.3,,83.8,,,85.3,90.8,,,,,70.5,,,,,,,,,,,,,,,,,,,,,,1
10,20200010,F,0,NA,JAE Ordinary Admission,CHIJ ST. NICHOLAS GIRLS' SCHOOL,,56.2,,37.3,,,,41.3,61.3,,,,52.2,,,,,,,,,,,,,,,,,,,,,,1
11,20200011,F,0,NA,JAE Ordinary Admission,CRESCENT GIRLS' SCHOOL,,58.1,,76,,,,76.3,69.3,,,,48.6,,,,,,,,,,,,,,,,,,,,,,1
12,20200012,M,246,NA,DSA (CCA),CATHOLIC HIGH SCHOOL,,54,,54.7,,,66.5,72.3,,,,,44.3,,,,,,,,,,,,,,,,,,,,,,1
13,20200013,M,0,NA,IP (X),SCHOOL X,,52.4,,63.3,,,,67.5,65.3,,,,58.9,,,,,,,,,,,,,,,,,,,,,,1
14,20200014,M,247,NA,DSA,BUKIT PANJANG GOVT. HIGH SCHOOL,,59.5,,77.2,,,MC,78.9,,,,,MC,,,,,,,,,,,,,,,,,,,,,,2
15,20200015,F,0,NA,JAE Ordinary Admission,BUKIT PANJANG GOVT. HIGH SCHOOL,,57.9,,66.3,,,,80.4,53.1,,,,48,,,,,,,,,,,,,,,,,,,,,,2
16,20200016,F,0,NA,IP (Y),SCHOOL Y,,58.7,,38.9,,,,,,52.7,,,60.2,,,,64.4,,,,,,,,,,,,,,,,,,1
17,20200017,F,0,NA,IP (Y),SCHOOL Y,,57.5,,50,,,,58.7,50.8,,,,54.1,,,,,,,,,,,,,,,,,,,,,,1
18,20200018,F,0,NA,IP (Y),SCHOOL Y,,57.7,,58.7,,,,72.4,70.4,,,,54.7,,,,,,,,,,,,,,,,,,,,,,2
19,20200019,M,0,NA,IP (X),SCHOOL X,,67.8,,70.2,,,69.9,74.4,,,,,66.1,,,,,,,,,,,,,,,,,,,,,,1
20,20200020,M,0,NA,IP (X),SCHOOL X,,60.1,,54.5,,,,59.7,48.1,,,,,,,,,,,,,62.4,,,,,,,,,,,,,1
21,20200021,M,0,NA,JAE Ordinary Admission,ZHONGHUA SECONDARY SCHOOL,,51,,41.2,,,,45.7,25.6,,,,45.3,,,,,,,,,,,,,,,,,,,,,,2
22,20200022,M,0,NA,IP (X),SCHOOL X,,57.1,,77.9,,,71.4,67.3,,,,,53.7,,,,,,,,,,,,,,,,,,,,,,1
23,20200023,F,0,NA,IP (Y),SCHOOL Y,,64.5,,52.1,,,,61.9,53.7,,,,43.8,,,,,,,,,,,,,,,,,,,,,,1
24,20200024,M,0,NA,IP (X),SCHOOL X,,59.9,,88.6,,,78.1,86.3,,,,,68.4,,,,,,,,,,,,,,,,,,,,,,1
