SN,NEWID,GENDER,PSLE,REPEAT,INTAKE,SEC SCHOOL,KI,GP,KI (A),MA2,FM2,CP2,PH2,CH2,BY2,EL2,EL2 (A),ELL2,EC2,EC2 (A),EH2,EH2 (A),EG2,EG2 (A),S1_2,S2_2,S3_2,S4_2,S5_2,FR2,GM2,JP2,SP2,MA1,PH1,CH1,EL1,EC1,EG1,S1_1,NO OF CCA
1,20200001,F,0,NA,JAE Ordinary Admission,"SCHOOL OF SCIENCE AND TECHNOLOGY, SINGAPORE",,0.72,,0.59,,,0.53,0.68,,,,,0.66,,,,,,,,,,,,,,,,,,,,,,1
2,20200002,F,0,NA,IP (Y),SCHOOL Y,,0.52,,0.43,,,,0.09,0.59,0.53,,,,,,,,,,,,,,,,,,,,,,,,,1
3,20200003,F,0,NA,JAE Ordinary Admission,NAN CHIAU HIGH SCHOOL,,0.46,,0.47,,,,0.16,,,,,0.29,,0.05,,,,,,,,,,,,,,,,,,,,1
4,20200004,M,0,NA,IP (X),SCHOOL X,,0.18,,0.39,,,0.11,0.21,,,,,0.69,,,,,,,,,,,,,,,,,,,,,,2
5,20200005,F,0,NA,IP (Y),SCHOOL Y,,0.36,,0.11,,,,0.17,0.16,,,,,,,,0.17,,,,,,,,,,,,,,,,,,1
6,20200006,F,0,NA,IP (Y),SCHOOL Y,,0.38,,0.14,,,0.04,0.3,,,,,0.31,,,,,,,,,,,,,,,,,,,,,,1
7,20200007,F,0,NA,IP (Y),SCHOOL Y,,0.26,,0.36,,,,0.22,0.36,,,,0.22,,,,,,,,,,,,,,,,,,,,,,2
8,20200008,F,0,NA,IP (Y),SCHOOL Y,,0.19,,0.87,,,0.26,0.42,,,,,0.53,,,,,,,,,,,,,,,,,,,,,,1
9,20200009,M,0,NA,IP (X),SCHOOL X,,0.94,,0.92,,,0.96,0.97,,,,,0.96,,,,,,,,,,,,,,,,,,,,,,1
10,20200010,F,0,NA,JAE Ordinary Admission,CHIJ ST. NICHOLAS GIRLS' SCHOOL,,0.41,,0.06,,,,0.03,0.38,,,,0.28,,,,,,,,,,,,,,,,,,,,,,1
11,20200011,F,0,NA,JAE Ordinary Admission,CRESCENT GIRLS' SCHOOL,,0.56,,0.79,,,,0.68,0.59,,,,0.17,,,,,,,,,,,,,,,,,,,,,,1
12,20200012,M,246,NA,DSA (CCA),CATHOLIC HIGH SCHOOL,,0.25,,0.3,,,0.61,0.54,,,,,0.07,,,,,,,,,,,,,,,,,,,,,,1
13,20200013,M,0,NA,IP (X),SCHOOL X,,0.14,,0.48,,,,0.39,0.47,,,,0.6,,,,,,,,,,,,,,,,,,,,,,1
14,20200014,M,247,NA,DSA,BUKIT PANJANG GOVT. HIGH SCHOOL,,0.64,,0.82,,,MC,0.74,,,,,MC,,,,,,,,,,,,,,,,,,,,,,2
15,20200015,F,0,NA,JAE Ordinary Admission,BUKIT PANJANG GOVT. HIGH SCHOOL,,0.54,,0.56,,,,0.8,0.21,,,,0.16,,,,,,,,,,,,,,,,,,,,,,2
16,20200016,F,0,NA,IP (Y),SCHOOL Y,,0.6,,0.08,,,,,,0.06,,,0.65,,,,0.6,,,,,,,,,,,,,,,,,,1
