SN,NEWID,GENDER,PSLE,REPEAT,INTAKE,SEC SCHOOL,PW,GP,KI,KI (A),MA2,FM2,CP2,PH2,CH2,BY2,EL2,EL2 (A),ELL2,EC2,EC2 (A),EH2,EH2 (A),EG2,EG2 (A),S1_2,S2_2,S3_2,S4_2,S5_2,FR2,GM2,JP2,SP2,MA1,PH1,CH1,EL1,EC1,EG1,MA3-MOE,PH3-MOE,CH3-MOE,BY3-MOE,EC3-MOE,S1_3-MOE,S2_3-MOE,NO OF CCA
1,20200001,F,0,NA,JAE Ordinary Admission,"SCHOOL OF SCIENCE AND TECHNOLOGY, SINGAPORE",0,69,,,68,,,66.3,70.4,,,,,59.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
2,20200002,F,0,NA,IP (Y),SCHOOL Y,0,63,,,62.8,,,,66.4,63,57.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
3,20200003,F,0,NA,JAE Ordinary Admission,NAN CHIAU HIGH SCHOOL,0,65,,,64.2,,,,48.8,,,,,52.8,,51,,,,,,,,,,,,,,,,,,,,,,,,,,1
4,20200004,M,0,NA,IP (X),SCHOOL X,0,57,,,50,,,39,48.8,,,,,51.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
5,20200005,F,0,NA,IP (Y),SCHOOL Y,0,53,,,40.2,,,,42.7,47.9,,,,,,,,48.8,,,,,,,,,,,,,,,,,,,,,,,,1
6,20200006,F,0,NA,IP (Y),SCHOOL Y,0,64,,,47.2,,,46.2,45.2,,,,,54.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
7,20200007,F,0,NA,IP (Y),SCHOOL Y,0,63,,,56.4,,,,49.6,59.6,,,,52.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
8,20200008,F,0,NA,IP (Y),SCHOOL Y,0,66,,,73.6,,,61.9,53.4,,,,,55.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
9,20200009,M,0,NA,IP (X),SCHOOL X,0,80,,,75.1,,,86.6,80.6,,,,,70.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
10,20200010,F,0,NA,JAE Ordinary Admission,CHIJ ST. NICHOLAS GIRLS' SCHOOL,0,57,,,51.8,,,,62.6,56.9,,,,52.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
11,20200011,F,0,NA,JAE Ordinary Admission,CRESCENT GIRLS' SCHOOL,0,60,,,71.6,,,,70.4,66.1,,,,66.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
12,20200012,M,246,NA,DSA (CCA),CATHOLIC HIGH SCHOOL,0,57,,,59.8,,,67.4,59.6,,,,,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
13,20200013,M,0,NA,IP (X),SCHOOL X,0,62,,,53,,,,56.2,60.7,,,,59.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
14,20200014,M,247,NA,DSA,BUKIT PANJANG GOVT. HIGH SCHOOL,0,68,,,79.4,,,72.3,72,,,,,,,,,,,,,,,,,,,,,,,,62.2,,,,27.5,,,,,2
