SN,NEWID,GENDER,PSLE,REPEAT,INTAKE,SEC SCHOOL,PW,KI,GP,KI (A),MA2,FM2,CP2,PH2,CH2,BY2,EL2,EL2 (A),ELL2,EC2,EC2 (A),EH2,EH2 (A),EG2,EG2 (A),S1_2,S2_2,S3_2,S4_2,S5_2,FR2,GM2,JP2,SP2,MA1,PH1,CH1,EL1,EC1,EG1,MA3-MOE,PH3-MOE,CH3-MOE,BY3-MOE,EC3-MOE,S1_3-MOE,S2_3-MOE,NO OF CCA
1,20200001,F,0,NA,JAE Ordinary Admission,"SCHOOL OF SCIENCE AND TECHNOLOGY, SINGAPORE",1,,0.81,,0.63,,,0.6,0.67,,,,,0.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
2,20200002,F,0,NA,IP (Y),SCHOOL Y,1,,0.5,,0.49,,,,0.56,0.49,0.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
3,20200003,F,0,NA,JAE Ordinary Admission,NAN CHIAU HIGH SCHOOL,1,,0.62,,0.53,,,,0.16,,,,,0.3,,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,1
4,20200004,M,0,NA,IP (X),SCHOOL X,1,,0.18,,0.24,,,0.07,0.16,,,,,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
5,20200005,F,0,NA,IP (Y),SCHOOL Y,1,,0.07,,0.11,,,,0.09,0.08,,,,,,,,0.15,,,,,,,,,,,,,,,,,,,,,,,,1
6,20200006,F,0,NA,IP (Y),SCHOOL Y,1,,0.55,,0.2,,,0.18,0.11,,,,,0.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
7,20200007,F,0,NA,IP (Y),SCHOOL Y,1,,0.5,,0.37,,,,0.17,0.35,,,,0.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
8,20200008,F,0,NA,IP (Y),SCHOOL Y,1,,0.67,,0.76,,,0.5,0.22,,,,,0.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
9,20200009,M,0,NA,IP (X),SCHOOL X,1,,0.99,,0.79,,,0.97,0.91,,,,,0.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
10,20200010,F,0,NA,JAE Ordinary Admission,CHIJ ST. NICHOLAS GIRLS' SCHOOL,1,,0.18,,0.26,,,,0.46,0.26,,,,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
11,20200011,F,0,NA,JAE Ordinary Admission,CRESCENT GIRLS' SCHOOL,1,,0.34,,0.71,,,,0.67,0.62,,,,0.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
12,20200012,M,246,NA,DSA (CCA),CATHOLIC HIGH SCHOOL,1,,0.18,,0.44,,,0.65,0.37,,,,,0.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
13,20200013,M,0,NA,IP (X),SCHOOL X,1,,0.44,,0.3,,,,0.29,0.41,,,,0.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
14,20200014,M,247,NA,DSA,BUKIT PANJANG GOVT. HIGH SCHOOL,1,,0.76,,0.87,,,0.77,0.71,,,,,,,,,,,,,,,,,,,,,,,,0.8,,,,0.03,,,,,2
15,20200015,F,0,NA,JAE Ordinary Admission,BUKIT PANJANG GOVT. HIGH SCHOOL,1,,0.34,,0.56,,,,0.55,0.39,,,,0.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
