NEWID,GENDER,INTAKE,STREAM,SEC SCHOOL,RELIGION,CITIZENSHIP,REPEAT,MSG,L1R5,EL1,HMTL,MTL2,BT,DT,EM,AM,PHY,CHM,BIO,PC,CB,SSL,PE,COM,EC,PA,CH,SSH,SSG,HA,HMU,LEL,LCL,HSY,GEO,ART,MU,AL,IN,MSP,HH,HG,HL,IH,HZ,IHC,FR,GM,JP,EM2,AM2,PO2,CO2,BO2,EO2,IH2,LA2,SP
20200001,F,JAE Ordinary Admission,Science,"SCHOOL OF SCIENCE AND TECHNOLOGY, SINGAPORE",CHRISTIAN,SINGAPORE CITIZEN,,,7,A2,C6,B3,A2,,A1,A1,A1,A1,,,,,,,,,,,A1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200002,F,IP (Y),Science,SCHOOL Y,CHRISTIAN,SINGAPORE CITIZEN,,1.43,6,A1,A2,,,,A1,A1,B3,A2,A1,,,,,,,,,,,,,,,,,,,,,,,A2,,,,,,,,,,,,,,,,
20200003,F,JAE Ordinary Admission,Science,NAN CHIAU HIGH SCHOOL,BUDDHIST,SINGAPORE CITIZEN,,,8,A2,A2,A2,,,A1,A1,A2,A1,,,,,,,,,,,B3,,,,,A1,,,,,,,,,,,,,,,,,,,,,,,,
20200004,M,IP (X),Science,SCHOOL X,NO RELIGION,SINGAPORE CITIZEN,,2.89,6,A2,C6,B4,,,B3,A2,B3,B3,,,,,,,,,,,,,,,,,A2,,,,,,,,,,,,,,,,,,,,,,,
20200005,F,IP (Y),Science,SCHOOL Y,NO RELIGION,SINGAPORE CITIZEN,,2.29,6,B4,A1,,,,A1,B4,,A2,B3,,,,,,,,,,,,,,,,B3,,,,,,,A2,,,,,,,,,,,,,,,,
20200006,F,IP (Y),Science,SCHOOL Y,BUDDHIST,SINGAPORE CITIZEN,,2.29,6,B3,A2,,,,A1,B3,A2,B3,B4,,,,,,,,,,,,,,,,,,,,,,,,B3,,,,,B3,,,,,,,,,,
20200007,F,IP (Y),Science,SCHOOL Y,NO RELIGION,SINGAPORE CITIZEN,,1.86,6,B3,B4,,,,A1,B3,A1,A1,A1,,,,,,,,,,,,,,,,,,,,,,,B3,,,,,,,,,,,,,,,,
20200008,F,IP (Y),Science,SCHOOL Y,NO RELIGION,SINGAPORE CITIZEN,,1.71,6,A2,A1,,,,A1,A1,A1,A1,A2,,,,,,,,,,,,,,,,,,,,,,,B3,,,,,,,,,,,,,,,,
20200009,M,IP (X),Science,SCHOOL X,NO RELIGION,SINGAPORE CITIZEN,,1.09,6,A1,A1,,,,A1,A1,A1,A1,A1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200010,F,JAE Ordinary Admission,Science,CHIJ ST. NICHOLAS GIRLS' SCHOOL,BUDDHIST,SINGAPORE CITIZEN,,,7,A1,C6,A2,,,A1,A2,,A2,A1,,,A1,,,,,,,,,,,,,A1,,,,,,,,,,,,,,,,,,,,,,,
