,state,participation,composite
0,Alabama,1.0,18.9
1,Alaska,0.38,20.1
2,Arizona,0.73,19.0
3,Arkansas,1.0,19.3
4,California,0.23,22.6
5,Colorado,0.27,23.8
6,Connecticut,0.22,25.5
7,Delaware,0.13,24.1
8,District of Columbia,0.32,23.5
9,Florida,0.54,20.1
10,Georgia,0.49,21.4
11,Hawaii,0.8,19.0
12,Idaho,0.31,22.5
13,Illinois,0.35,24.3
14,Indiana,0.29,22.5
15,Iowa,0.66,21.6
16,Kansas,0.72,21.2
17,Kentucky,1.0,19.8
18,Louisiana,1.0,18.8
19,Maine,0.06,24.3
20,Maryland,0.28,22.3
21,Massachusetts,0.21,25.5
22,Michigan,0.19,24.4
23,Minnesota,0.95,21.4
24,Mississippi,1.0,18.4
25,Missouri,0.82,20.8
26,Montana,1.0,19.8
27,Nebraska,1.0,20.0
28,Nevada,1.0,17.9
29,New Hampshire,0.14,25.0
30,New Jersey,0.25,24.2
31,New Mexico,0.63,19.3
32,New York,0.22,24.5
33,North Carolina,1.0,19.0
34,North Dakota,0.96,19.9
35,Ohio,1.0,20.0
36,Oklahoma,1.0,18.9
37,Oregon,0.42,21.1
38,Pennsylvania,0.17,23.6
39,Rhode Island,0.12,24.7
40,South Carolina,0.78,18.8
41,South Dakota,0.75,21.6
42,Tennessee,1.0,19.4
43,Texas,0.39,20.5
44,Utah,1.0,20.3
45,Vermont,0.2,24.1
46,Virginia,0.21,24.0
47,Washington,0.24,22.1
48,West Virginia,0.49,20.8
49,Wisconsin,1.0,20.3
50,Wyoming,1.0,19.8
51,National,0.52,20.7
