Total_Bsmt_SF,Gr_Liv_Area,Garage_Area,Year_Built,Year_Remod/Add,Mas_Vnr_Area,Full_Bath,BsmtFin_SF_1,Overall_Qual,Exter_Qual,Bsmt_Qual,Kitchen_Qual,Fireplace_Qu,Garage_Finish,Bsmt_Exposure,Heating_QC,MS_SubClass,Foundation,Garage_Type,Neighborhood_High,Neighborhood_Low,SalePrice
725.0,1479,475.0,1976,2005,289.0,2,533.0,6.0,1,1,1,0,2,0,2,1,0,1,0,0,130500
913.0,2122,559.0,1996,1997,132.0,2,637.0,7.0,1,2,1,2,2,0,2,1,1,1,0,0,220000
1057.0,1057,246.0,1953,2007,0.0,1,731.0,5.0,0,1,1,0,1,0,0,1,0,0,0,0,109000
384.0,1444,400.0,2006,2007,0.0,2,0.0,5.0,0,2,0,0,3,0,1,1,1,1,0,0,174000
676.0,1445,484.0,1900,1993,0.0,2,0.0,6.0,0,0,0,0,1,0,0,0,1,0,0,0,138500
1517.0,1888,578.0,1966,2002,0.0,2,247.0,6.0,1,1,1,3,3,0,2,1,0,1,0,0,190000
547.0,1072,525.0,2005,2006,82.0,2,547.0,6.0,0,2,0,0,3,3,1,0,1,0,0,1,140000
1188.0,1188,531.0,1959,1959,180.0,1,1000.0,5.0,0,1,0,0,2,0,0,1,0,1,0,0,142000
924.0,924,420.0,1952,1952,0.0,1,292.0,5.0,0,1,0,0,1,0,0,1,0,0,0,1,112500
1040.0,2080,504.0,1969,1969,192.0,1,650.0,5.0,0,2,0,2,1,2,0,1,1,1,0,0,135000
483.0,987,264.0,1971,1971,232.0,1,387.0,6.0,0,1,0,0,1,0,0,0,0,0,0,1,85400
1208.0,1208,632.0,2005,2005,0.0,2,393.0,7.0,1,2,1,0,2,2,2,1,1,1,0,0,183600
0.0,2016,576.0,1880,2007,0.0,1,0.0,5.0,1,0,0,2,1,0,2,0,1,1,0,0,131000
960.0,1607,480.0,1999,2000,456.0,2,813.0,8.0,1,2,1,0,1,0,2,0,1,0,0,0,200000
1351.0,1361,610.0,2007,2007,0.0,2,24.0,7.0,1,2,1,0,2,2,2,1,1,1,0,0,193000
1430.0,1430,624.0,2004,2005,0.0,2,0.0,5.0,0,3,1,0,2,2,2,1,1,1,0,0,173500
624.0,1344,513.0,1916,1950,0.0,1,0.0,5.0,0,1,0,0,1,0,0,0,0,0,0,1,98000
1121.0,1121,480.0,1963,1963,0.0,1,651.0,5.0,0,1,0,0,1,0,0,1,1,0,0,0,139000
660.0,1285,528.0,1977,1977,148.0,1,0.0,6.0,0,1,0,2,2,0,2,1,0,1,0,0,143500
756.0,1547,614.0,2009,2009,0.0,2,24.0,7.0,0,2,1,0,1,1,2,1,1,1,0,0,215200
894.0,894,450.0,1968,1968,0.0,1,492.0,5.0,0,2,0,1,3,0,1,1,0,1,0,0,129000
1501.0,1659,499.0,2000,2000,0.0,2,1158.0,8.0,1,2,2,3,3,0,2,1,1,1,1,0,278000
1209.0,2253,575.0,2005,2006,0.0,2,0.0,8.0,1,3,2,3,3,2,2,1,1,1,1,0,344133
1168.0,1187,420.0,1992,2007,0.0,2,935.0,6.0,0,2,0,0,3,0,2,1,1,1,0,0,185000
1056.0,1056,572.0,1955,1955,0.0,1,1056.0,5.0,0,1,0,0,3,1,0,0,0,1,0,0,145000
1453.0,1453,530.0,1961,1961,3.0,2,1312.0,6.0,0,1,0,2,2,0,2,1,0,1,0,0,187500
894.0,894,336.0,1965,2009,0.0,1,553.0,5.0,0,1,0,3,1,0,2,1,0,0,0,0,138500
942.0,1938,240.0,1937,1995,0.0,2,606.0,5.0,0,1,1,3,1,0,2,0,0,0,0,0,198000
957.0,1991,0.0,1895,2006,0.0,2,0.0,5.0,0,1,0,0,0,0,0,0,0,0,0,1,119600
672.0,924,576.0,1949,2006,0.0,1,0.0,5.0,0,1,0,1,1,1,2,0,0,0,0,0,122900
2524.0,2524,542.0,1981,1981,0.0,2,1104.0,8.0,1,2,1,3,3,0,0,1,1,1,0,0,278000
792.0,1517,400.0,1929,1950,0.0,1,0.0,8.0,0,2,1,3,1,0,0,0,1,0,0,0,230000
1494.0,1494,481.0,1995,1996,0.0,1,437.0,8.0,1,2,2,3,3,2,2,1,1,1,0,0,270000
948.0,948,410.0,1952,1952,0.0,1,441.0,6.0,0,1,0,0,1,0,0,1,0,0,0,0,125000
1705.0,1718,826.0,2007,2008,336.0,2,1288.0,8.0,1,3,1,3,2,3,2,1,1,1,0,0,297000
160.0,1142,384.0,1958,1958,82.0,1,0.0,6.0,0,2,0,3,2,3,0,1,0,0,0,0,113500
757.0,1475,336.0,1977,1977,0.0,2,548.0,5.0,0,1,0,2,2,0,2,0,1,1,0,1,127000
1844.0,1844,546.0,1977,1977,480.0,2,705.0,6.0,0,2,0,2,2,0,2,1,0,1,0,0,190000
1242.0,1242,528.0,1973,1973,320.0,1,916.0,7.0,0,1,0,2,1,0,0,1,0,1,0,0,175500
